I              : 4084
the            : 3945
to             : 3423
and            : 3387
a              : 2735
of             : 2473
you            : 2309
Sir            : 2011
d              : 1879
in             : 1647
my             : 1636
that           : 1408
s              : 1355
me             : 1274
not            : 1076
for            : 1044
your           : 1003
with           : 975
be             : 964
is             : 957
it             : 949
this           : 937
have           : 918
his            : 802
but            : 788
And            : 786
he             : 783
her            : 749
as             : 743
so             : 716
all            : 713
him            : 693
The            : 570
are            : 543
ll             : 542
what           : 541
by             : 529
do             : 514
p              : 513
on             : 511
was            : 507
thou           : 482
But            : 465
will           : 463
no             : 460
she            : 451
at             : 444
or             : 417
shall          : 395
if             : 389
from           : 374
has            : 357
Bel            : 354
thee           : 334
am             : 329
which          : 326
t              : 321
Enter          : 317
can            : 309
l              : 307
tis            : 307
out            : 305
here           : 299
they           : 294
Oh             : 291
we             : 289
Love           : 289
now            : 288
an             : 287
Lord           : 286
must           : 283
know           : 280
more           : 279
What           : 278
had            : 273
A              : 272
too            : 258
Fran           : 255
who            : 254
may            : 247
then           : 247
thy            : 246
there          : 245
see            : 235
one            : 234
Tim            : 234
Man            : 228
wou            : 214
You            : 210
how            : 209
were           : 202
when           : 201
like           : 201
Why            : 199
Gay            : 193
love           : 193
No             : 192
make           : 191
Doct           : 191
Madam          : 190
Feeb           : 189
come           : 188
go             : 187
well           : 185
To             : 184
Scar           : 184
That           : 184
He             : 179
say            : 179
than           : 179
up             : 175
How            : 173
would          : 171
old            : 171
yet            : 171
any            : 171
Cau            : 168
let            : 167
upon           : 167
Wife           : 166
been           : 164
Bellmour       : 164
Devil          : 163
take           : 162
such           : 161
m              : 159
Friend         : 159
some           : 159
never          : 157
us             : 156
little         : 156
good           : 155
self           : 155
much           : 155
Aside          : 154
Erminia        : 154
This           : 152
Lady           : 151
did            : 147
should         : 147
Car            : 146
very           : 146
our            : 145
think          : 144
again          : 141
Ay             : 139
their          : 139
L              : 137
er             : 136
Alcip          : 136
For            : 136
where          : 134
em             : 133
made           : 132
Guil           : 132
young          : 132
st             : 131
My             : 130
only           : 129
Ful            : 128
give           : 128
great          : 127
into           : 126
other          : 126
Phi            : 124
Woman          : 122
first          : 122
Alcippus       : 121
Alcan          : 121
Mrs            : 120
Who            : 118
Heaven         : 117
Fortune        : 117
those          : 116
Eyes           : 116
most           : 116
cannot         : 116
Night          : 116
Tis            : 115
Mr             : 114
Come           : 113
ye             : 112
She            : 112
find           : 112
before         : 111
why            : 111
In             : 110
It             : 110
Let            : 109
dear           : 109
Char           : 108
Er             : 107
own            : 107
thing          : 106
Har            : 106
art            : 106
sure           : 105
Honour         : 105
two            : 104
If             : 103
these          : 103
kind           : 102
still          : 102
By             : 101
Dia            : 100
Fal            : 100
tell           : 100
Well           : 99
way            : 99
Ah             : 98
away           : 98
II             : 97
last           : 97
shou           : 97
being          : 96
since          : 96
about          : 95
hear           : 94
fair           : 94
King           : 93
Cel            : 92
Isa            : 92
World          : 92
speak          : 92
done           : 91
Sham           : 91
thus           : 91
Yes            : 91
So             : 90
Brother        : 90
Heart          : 89
without        : 89
Pis            : 88
could          : 88
Ant            : 87
Am             : 87
As             : 87
mine           : 87
SCENE          : 87
Father         : 86
Life           : 86
Jul            : 86
look           : 86
Mistress       : 85
though         : 85
They           : 85
Celinda        : 85
marry          : 85
Soul           : 85
Guz            : 84
time           : 84
day            : 83
both           : 83
every          : 83
twas           : 82
them           : 82
does           : 81
whom           : 81
long           : 81
gone           : 80
Julia          : 80
Page           : 80
Scaramouch     : 79
hope           : 79
Prince         : 78
nothing        : 78
Diana          : 78
after          : 77
Act            : 77
Is             : 77
cf             : 77
ha             : 77
off            : 77
Men            : 76
Sister         : 76
ever           : 75
leave          : 75
Husband        : 75
Don            : 74
th             : 74
Your           : 74
Not            : 74
till           : 74
night          : 74
re             : 73
Alcander       : 73
believe        : 72
hast           : 72
call           : 72
better         : 71
Bed            : 71
Ex             : 71
Gal            : 71
new            : 71
said           : 71
Thou           : 71
e              : 70
Ha             : 70
Exit           : 70
another        : 70
just           : 70
found          : 69
mean           : 69
keep           : 69
live           : 69
enough         : 69
ve             : 68
down           : 68
Maid           : 68
Doctor         : 67
Carlos         : 67
die            : 66
get            : 66
Then           : 66
House          : 66
Exeunt         : 66
came           : 66
Ela            : 65
nor            : 65
Nay            : 65
Fellow         : 65
part           : 65
Gutenberg      : 64
comes          : 64
Which          : 64
fear           : 64
fine           : 64
goes           : 64
Beauty         : 63
