die            : 3094
der            : 2973
und            : 2935
zu             : 1988
in             : 1761
nicht          : 1695
er             : 1649
ist            : 1530
sie            : 1482
den            : 1453
dass           : 1429
es             : 1397
so             : 1315
das            : 1298
sich           : 1251
von            : 1144
dem            : 1101
als            : 1076
des            : 921
mit            : 913
ich            : 757
ein            : 734
auf            : 688
sein           : 678
auch           : 594
hat            : 583
eine           : 570
aber           : 565
wenn           : 550
nur            : 520
man            : 504
was            : 494
haben          : 491
noch           : 469
wir            : 448
wie            : 444
Die            : 435
ihm            : 430
fuer           : 427
aus            : 425
ihn            : 409
an             : 402
kann           : 396
oder           : 394
diese          : 381
selbst         : 377
uns            : 361
sind           : 360
will           : 350
bei            : 327
Ich            : 324
ihr            : 320
wird           : 311
Der            : 310
durch          : 303
muss           : 295
einen          : 295
Sie            : 292
um             : 289
werden         : 287
Aber           : 286
dieses         : 277
nach           : 277
einer          : 277
dieser         : 276
einem          : 275
seine          : 267
Koenigin       : 264
sehr           : 264
mehr           : 259
doch           : 257
sagt           : 244
war            : 239
wohl           : 238
de             : 234
alle           : 231
ohne           : 228
nichts         : 227
Dichter        : 226
koennen        : 222
machen         : 218
ueber          : 217
seiner         : 217
a              : 215
Und            : 212
haette         : 208
habe           : 207
the            : 205
Er             : 204
Es             : 204
welche         : 202
denn           : 199
mich           : 195
ihre           : 193
unter          : 191
lassen         : 181
sei            : 179
ganz           : 177
wuerde         : 177
seinen         : 174
sondern        : 173
da             : 172
viel           : 171
Denn           : 171
sagen          : 170
Das            : 169
Wenn           : 169
diesen         : 168
im             : 167
wollen         : 166
gar            : 166
schon          : 164
mir            : 164
que            : 163
soll           : 162
Essex          : 158
weil           : 158
muessen        : 154
immer          : 152
Was            : 151
hatte          : 151
vor            : 147
of             : 146
andern         : 146
alles          : 146
eines          : 144
hier           : 143
Aristoteles    : 142
also           : 142
sollte         : 140
Stueck         : 138
laesst         : 137
ihrer          : 137
Voltaire       : 137
wo             : 136
la             : 134
einmal         : 134
welcher        : 134
Mitleid        : 131
waere          : 131
Tragoedie      : 129
ob             : 129
welches        : 129
andere         : 126
ihren          : 126
bloss          : 125
ihnen          : 124
seinem         : 123
gegen          : 123
keine          : 122
weit           : 121
genug          : 120
Furcht         : 117
eben           : 116
zum            : 115
Stuecke        : 114
Namen          : 114
Personen       : 112
wieder         : 111
sehen          : 109
nun            : 109
diesem         : 107
weiss          : 107
macht          : 107
Man            : 106
Blanca         : 106
zur            : 104
Art            : 102
etwas          : 102
wollte         : 101
allen          : 100
allein         : 99
StueckDen      : 99
Wie            : 98
koennte        : 98
Liebe          : 97
kein           : 96
du             : 93
ward           : 93
Theater        : 93
In             : 91
to             : 91
Merope         : 91
Mann           : 90
welchen        : 89
sollen         : 89
Natur          : 88
wenig          : 88
gut            : 88
wirklich       : 88
So             : 87
gewesen        : 87
Zeit           : 87
wissen         : 87
Charakter      : 87
Doch           : 86
koenne         : 86
Herr           : 84
gibt           : 84
bis            : 84
Corneille      : 84
Komoedie       : 83
et             : 82
and            : 82
Sohn           : 81
damit          : 81
tun            : 80
weniger        : 79
warum          : 79
geben          : 78
worden         : 78
Den            : 77
ja             : 77
meine          : 77
anders         : 77
finden         : 77
zwar           : 76
Geschichte     : 76
koemmt         : 76
am             : 75
gemacht        : 75
Kunst          : 75
unsere         : 74
seines         : 74
ebenso         : 74
recht          : 74
darauf         : 73
Leben          : 73
d              : 72
or             : 72
Fussnote       : 72
Graf           : 72
ganze          : 71
ersten         : 71
el             : 69
en             : 69
ueberhaupt     : 69
ihrem          : 69
Vater          : 69
Demea          : 69
Menschen       : 68
welchem        : 68
lieber         : 68
Absicht        : 68
davon          : 67
Charaktere     : 67
Gutenberg      : 66
Welt           : 65
Handlung       : 65
Aegisth        : 65
est            : 65
weiter         : 65
glauben        : 65
E              : 64
vielleicht     : 63
Que            : 63
Grafen         : 63
weder          : 63
Project        : 63
wenigstens     : 63
Person         : 62
me             : 62
Fehler         : 62
Worte          : 62
dabei          : 62
Mutter         : 62
Micio          : 61
Buehne         : 61
bin            : 61
sonst          : 61
Augen          : 61
indem          : 60
Auch           : 60
Wir            : 60
wahr           : 60
Dieses         : 60
darin          : 60
gleich         : 59
Abend          : 58
moechte        : 58
unser          : 58
Diese          : 58
Frau           : 58
nie            : 58
geschehen      : 58
mi             : 57
zeigen         : 57
kommen         : 57
De             : 56
scheinet       : 56
wer            : 56
Wahrheit       : 56
Fabel          : 55
Terenz         : 55
Maffei         : 55
beide          : 55
gesagt         : 55
lange          : 55
desselben      : 55
heisst         : 54
le             : 54
mein           : 54
Sache          : 54
Hand           : 54
zwei           : 54
keinen         : 54
no             : 53
hoeren         : 53
itzt           : 53
Teil           : 53
vom            : 53
you            : 53
Greek          : 53
bald           : 52
jeder          : 52
wuerden        : 52
Dinge          : 52
aller          : 52
deren          : 52
darf           : 52
Herz           : 51
geht           : 51
nehmen         : 51
waren          : 51
einzige        : 51
wider          : 50
Nun            : 50
leicht         : 50
gern           : 50
muesse         : 50
ihres          : 50
konnte         : 50
notwendig      : 50
Titel          : 49
besser         : 49
Franzosen      : 49
dazu           : 49
tm             : 48
Schauspieler   : 48
Verfasser      : 48
Szene          : 48
gewiss         : 48
y              : 47
darum          : 47
Du             : 47
se             : 47
dessen         : 47
dergleichen    : 47
Sitten         : 47
findet         : 47
fast           : 47
il             : 46
is             : 46
si             : 46
Ein            : 46
Ist            : 46
Stuecken       : 46
besonders      : 46
erst           : 46
Ende           : 45
hingegen       : 45
Schrecken      : 45
Zuschauer      : 45
meinen         : 45
zugleich       : 45
werde          : 45
erste          : 45
beiden         : 45
Y              : 44
dich           : 44
ab             : 44
Genie          : 44
Regeln         : 44
alten          : 44
haetten        : 44
daher          : 44
unsern         : 43
ganzen         : 43
Euripides      : 43
Stelle         : 43
un             : 42
oft            : 42
muesste        : 42
dadurch        : 41
Wort           : 41
Wer            : 41
nimmt          : 41
Gedanken       : 41
desto          : 41
sieht          : 41
Leidenschaften : 40
getan          : 40
Dichters       : 40
jener          : 40
Zweifel        : 40
mag            : 40
qui            : 40
moeglich       : 40
sage           : 40
work           : 40
Unglueck       : 40
Seele          : 39
this           : 39
bringen        : 39
Jahre          : 39
Alten          : 39
e              : 38
Elisabeth      : 38
Herrn          : 38
naemlichen     : 38
Nicht          : 38
derselben      : 38
Diderot        : 38
with           : 38
jene           : 38
Erzaehlung     : 38
gegeben        : 38
setzen         : 38
gerade         : 37
Ursache        : 37
Werk           : 37
denken         : 37
Nur            : 37
wegen          : 37
Madame         : 37
Rolle          : 37
los            : 37
non            : 37
geworden       : 37
waeren         : 37
je             : 36
Leidenschaft   : 36
kaum           : 36
gehoert        : 36
Ton            : 36
guten          : 36
halten         : 36
Rutland        : 36
grossen        : 36
erhalten       : 36
les            : 36
denen          : 36
sprechen       : 36
Stoff          : 35
qu             : 35
vielmehr       : 35
bekannt        : 35
franzoesischen : 35
geringsten     : 35
gluecklich     : 35
naemlich       : 35
gehabt         : 35
wahre          : 35
zweiten        : 35
duerfte        : 35
solche         : 35
darueber       : 35
entweder       : 34
wahren         : 34
daraus         : 34
scheinen       : 34
Vorstellung    : 34
unserer        : 34
duerfen        : 34
sollten        : 34
Muehe          : 34
Kritik         : 34
Da             : 33
Akte           : 33
zwischen       : 33
glaube         : 33
Nottingham     : 33
Weise          : 33
tut            : 33
endlich        : 33
S              : 32
s              : 32
z              : 32
wolle          : 32
Bei            : 32
machte         : 32
he             : 32
dafuer         : 32
musste         : 32
glaubt         : 32
erregen        : 32
durchaus       : 32
eigentlich     : 32
Mensch         : 32
ce             : 31
Verbrechen     : 31
viele          : 31
Oder           : 31
solchen        : 31
besten         : 31
jede           : 31
Warum          : 31
Sohnes         : 31
hatten         : 31
Erklaerung     : 31
Gattung        : 31
gefallen       : 30
Poesie         : 30
Mi             : 30
Stuecks        : 30
sowohl         : 30
Gewalt         : 30
allem          : 30
not            : 30
fand           : 30
Begebenheiten  : 30
Ehre           : 30
Eine           : 30
No             : 29
kleinen        : 29
Feuer          : 29
Mit            : 29
gespielt       : 29
Herzog         : 29
Dacier         : 29
Kunstrichter   : 29
any            : 29
genommen       : 29
Kanzler        : 29
neue           : 29
selten         : 29
dritten        : 29
Moerder        : 29
einige         : 28
l              : 28
n              : 28
gleichwohl     : 28
Von            : 28
gefunden       : 28
Bruder         : 28
eher           : 28
tragischen     : 28
Werke          : 28
beste          : 28
it             : 27
lo             : 27
nachdem        : 27
Mai            : 27
jeden          : 27
Umstaenden     : 27
Tod            : 27
meiner         : 27
unstreitig     : 27
grosse         : 27
Wirkung        : 27
bleiben        : 27
aufgefuehret   : 27
anstatt        : 27
dir            : 27
Julius         : 27
Szenen         : 27
ins            : 27
Ihnen          : 27
freilich       : 27
Mittel         : 27
wiederum       : 27
vollkommen     : 27
erklaeren      : 27
daran          : 27
Ja             : 26
Empfindung     : 26
Rache          : 26
works          : 26
Ihr            : 26
Seite          : 26
Vergnuegen     : 26
Empfindungen   : 26
sobald         : 26
that           : 26
Cosme          : 26
lachen         : 26
solcher        : 26
Tage           : 26
Leute          : 26
kennen         : 26
gehen          : 26
Geschmack      : 26
Wege           : 25
drei           : 25
Moliere        : 25
Sultan         : 25
Tat            : 25
duenkt         : 25
Mitleiden      : 25
Verbindung     : 25
Vaters         : 25
Zaertlichkeit  : 25
tragische      : 25
ehe            : 25
keiner         : 25
Rodogune       : 25
gute           : 25
Menge          : 25
gesehen        : 25
Dieser         : 25
Schoenheiten   : 25
glaubte        : 25
koennten       : 25
Shakespeare    : 25
Ausdruck       : 25
Gleichwohl     : 25
dann           : 25
erwecken       : 25
unmoeglich     : 25
di             : 24
on             : 24
yo             : 24
Nachahmung     : 24
laenger        : 24
Ansehen        : 24
haelt          : 24
noetig         : 24
Moral          : 24
Polyphont      : 24
Himmel         : 24
Sein           : 24
jenes          : 24
gehalten       : 24
meinem         : 24
suchen         : 24
Beifall        : 24
faellt         : 24
Augenblicke    : 24
keinem         : 24
kam            : 24
geringste      : 24
Koenig         : 24
nennen         : 24
naemliche      : 24
Interesse      : 24
erinnern       : 24
sterben        : 24
erkennen       : 24
Destouches     : 24
Sprache        : 24
Zaire          : 24
Dichtkunst     : 24
O              : 23
faehig         : 23
be             : 23
fort           : 23
laecherlich    : 23
moegen         : 23
gelesen        : 23
muessten       : 23
indes          : 23
gebracht       : 23
kleine         : 23
Helden         : 23
letzten        : 23
kurz           : 23
oefters        : 23
all            : 23
Form           : 23
for            : 23
lernen         : 23
euch           : 23
Komoedien      : 23
por            : 23
braucht        : 23
weg            : 23
verbinden      : 23
Mitleids       : 23
allgemeinen    : 23
Nein           : 23
Als            : 22
Kleopatra      : 22
al             : 22
wurden         : 22
liess          : 22
Meinung        : 22
Umstaende      : 22
dennoch        : 22
The            : 22
Charakteren    : 22
meisten        : 22
Drama          : 22
sogar          : 22
allgemeine     : 22
Nation         : 22
falsch         : 22
gewissen       : 22
Gelegenheit    : 22
eigene         : 22
lieben         : 22
Stimme         : 22
einzigen       : 22
Nach           : 22
Musik          : 22
as             : 21
Stolz          : 21
voellig        : 21
dort           : 21
liebe          : 21
Tragoedien     : 21
Donatus        : 21
Auge           : 21
gesucht        : 21
Ohne           : 21
Hause          : 21
Uebersetzung   : 21
Trauerspiel    : 21
spricht        : 21
natuerlich     : 21
schwerlich     : 21
schuldig       : 21
blossen        : 21
