the            : 12509
of             : 6964
and            : 4432
to             : 4149
his            : 2447
a              : 2123
in             : 2110
was            : 1784
had            : 1418
he             : 1281
by             : 1227
which          : 1088
with           : 1083
The            : 996
their          : 948
this           : 784
at             : 764
for            : 727
were           : 726
from           : 708
as             : 686
that           : 674
it             : 643
him            : 633
be             : 561
Emperor        : 539
on             : 532
not            : 522
an             : 458
they           : 448
all            : 445
its            : 413
but            : 411
s              : 405
who            : 395
army           : 332
been           : 331
into           : 327
But            : 326
them           : 311
now            : 303
upon           : 303
more           : 294
would          : 282
enemy          : 277
Gustavus       : 275
himself        : 272
war            : 271
could          : 270
own            : 268
Germany        : 266
so             : 264
against        : 256
Wallenstein    : 253
or             : 253
no             : 250
these          : 229
Duke           : 223
troops         : 217
Elector        : 217
Swedes         : 212
He             : 212
time           : 212
general        : 208
have           : 205
Swedish        : 205
while          : 202
In             : 198
king           : 189
most           : 187
Austria        : 185
only           : 184
even           : 184
whole          : 180
one            : 178
under          : 178
other          : 177
if             : 176
imperial       : 175
than           : 172
after          : 171
when           : 170
without        : 167
Sweden         : 166
Saxony         : 164
Protestant     : 162
before         : 159
made           : 158
power          : 157
Roman          : 157
might          : 152
France         : 150
is             : 147
should         : 146
long           : 145
Bavaria        : 142
Tilly          : 141
Protestants    : 139
first          : 139
peace          : 138
King           : 138
still          : 138
Bohemia        : 135
last           : 133
did            : 131
Ferdinand      : 130
great          : 127
Adolphus       : 126
German         : 125
same           : 125
where          : 124
both           : 123
two            : 123
princes        : 122
any            : 118
up             : 116
force          : 115
every          : 115
order          : 113
A              : 112
left           : 112
men            : 112
taken          : 112
such           : 111
country        : 111
themselves     : 110
too            : 105
town           : 105
new            : 103
arms           : 103
It             : 102
Imperialists   : 99
however        : 99
already        : 99
To             : 98
soon           : 97
This           : 96
treaty         : 96
out            : 95
Catholic       : 95
His            : 94
between        : 94
prince         : 94
battle         : 94
death          : 92
must           : 92
religious      : 92
itself         : 92
religion       : 91
territories    : 91
also           : 91
Count          : 91
field          : 90
lost           : 90
little         : 88
states         : 86
League         : 86
cause          : 86
very           : 85
once           : 84
party          : 83
place          : 83
part           : 82
command        : 82
whom           : 81
Prague         : 81
I              : 80
If             : 79
some           : 79
All            : 78
far            : 78
Austrian       : 78
assistance     : 77
over           : 77
attack         : 77
Rhine          : 77
armies         : 76
towards        : 76
empire         : 76
important      : 76
those          : 75
formidable     : 75
Lower          : 75
being          : 74
alone          : 73
moment         : 73
you            : 73
hands          : 72
among          : 71
camp           : 71
Magdeburg      : 70
head           : 70
At             : 69
danger         : 69
then           : 69
Maximilian     : 68
therefore      : 68
dominions      : 68
fate           : 68
took           : 68
make           : 67
Catholics      : 67
French         : 67
through        : 67
hand           : 67
gave           : 67
support        : 67
latter         : 67
alliance       : 66
yet            : 65
Spanish        : 64
well           : 64
much           : 64
march          : 64
whose          : 64
appeared       : 63
duke           : 63
another        : 63
hope           : 63
Bohemian       : 62
powerful       : 61
open           : 61
right          : 61
many           : 60
common         : 60
her            : 60
crown          : 60
success        : 60
kingdom        : 60
seemed         : 60
soldiers       : 60
nothing        : 59
less           : 59
strength       : 59
never          : 59
subjects       : 59
side           : 59
Frederick      : 59
Union          : 59
dangerous      : 59
generals       : 59
day            : 58
remained       : 58
Leipzig        : 58
Palatine       : 58
victory        : 58
Palatinate     : 58
greater        : 58
possession     : 57
sovereign      : 57
what           : 57
Hungary        : 57
Estates        : 57
thus           : 57
allies         : 56
Imperial       : 56
With           : 56
received       : 56
abandoned      : 56
take           : 56
threatened     : 56
gained         : 56
courage        : 56
enemies        : 56
good           : 55
few            : 55
retreat        : 55
court          : 55
second         : 54
free           : 54
After          : 54
loss           : 54
fortune        : 54
Bernard        : 54
By             : 53
interests      : 53
within         : 53
name           : 53
near           : 52
master         : 52
city           : 52
resistance     : 52
either         : 52
years          : 52
immediately    : 51
again          : 51
formed         : 51
necessity      : 51
several        : 51
placed         : 50
found          : 50
three          : 50
off            : 50
political      : 50
defence        : 50
Europe         : 50
Mansfeld       : 50
there          : 50
act            : 50
victorious     : 50
throne         : 50
quarters       : 49
Brandenburg    : 49
church         : 49
though         : 49
favourable     : 49
They           : 49
held           : 49
authority      : 49
officers       : 49
means          : 49
Upper          : 49
people         : 49
person         : 48
policy         : 48
progress       : 47
As             : 47
end            : 47
my             : 47
decisive       : 47
position       : 47
each           : 47
zeal           : 47
Bavarian       : 46
vain           : 46
about          : 46
favour         : 46
son            : 46
Hesse          : 46
Saxons         : 46
equally        : 46
till           : 46
foreign        : 46
fell           : 46
General        : 46
present        : 45
Empire         : 45
orders         : 45
rendered       : 45
Christian      : 45
strong         : 45
measures       : 45
compelled      : 45
Danube         : 45
powers         : 45
Spain          : 44
On             : 44
Pomerania      : 44
life           : 44
former         : 44
Vienna         : 44
affairs        : 44
Diet           : 43
opened         : 43
parties        : 43
will           : 43
hopes          : 43
state          : 43
course         : 43
defeat         : 43
Ratisbon       : 43
laid           : 42
man            : 42
conquests      : 42
unfortunate    : 42
Spaniards      : 42
sword          : 42
give           : 42
towns          : 42
dignity        : 42
enough         : 42
step           : 41
secret         : 41
Matthias       : 41
military       : 41
full           : 41
service        : 41
said           : 41
necessary      : 41
Weimar         : 41
While          : 41
object         : 41
exhausted      : 41
conditions     : 41
attempt        : 40
Franconia      : 40
longer         : 40
Banner         : 40
raised         : 40
put            : 40
prevent        : 40
Silesia        : 40
hitherto       : 40
House          : 40
point          : 40
united         : 40
