the       : 630
a         : 501
to        : 469
and       : 452
I         : 439
of        : 437
And       : 384
in        : 287
his       : 283
you       : 244
he        : 243
s         : 203
The       : 189
was       : 180
with      : 171
that      : 163
it        : 156
He        : 147
him       : 132
on        : 120
all       : 120
as        : 119
for       : 119
But       : 118
her       : 117
my        : 113
or        : 112
they      : 109
A         : 108
is        : 108
at        : 103
be        : 102
t         : 100
not       : 98
said      : 94
your      : 84
their     : 83
this      : 78
For       : 75
by        : 74
no        : 73
so        : 70
had       : 67
when      : 67
S         : 66
They      : 66
from      : 66
who       : 65
me        : 64
To        : 62
ll        : 61
would     : 61
them      : 60
are       : 59
PETER     : 59
do        : 57
if        : 57
His       : 57
one       : 56
have      : 54
You       : 54
day       : 53
MATILDA   : 52
were      : 52
other     : 52
ve        : 51
very      : 49
too       : 46
an        : 45
like      : 45
will      : 42
say       : 41
d         : 40
good      : 40
we        : 40
man       : 40
m         : 39
made      : 39
up        : 39
there     : 39
any       : 39
No        : 38
So        : 38
never     : 38
then      : 38
well      : 38
may       : 37
It        : 36
only      : 36
more      : 36
but       : 35
Ballad    : 34
could     : 34
With      : 33
out       : 33
she       : 33
can       : 33
That      : 32
She       : 32
should    : 32
think     : 31
how       : 31
though    : 31
our       : 31
If        : 30
Oh        : 30
little    : 30
which     : 29
much      : 29
old       : 29
This      : 28
know      : 28
Old       : 28
My        : 27
young     : 27
what      : 27
came      : 27
such      : 26
poor      : 26
upon      : 26
see       : 26
In        : 25
time      : 25
away      : 25
now       : 25
off       : 25
Project   : 25
every     : 25
As        : 24
Or        : 24
might     : 24
way       : 24
go        : 24
When      : 24
Of        : 23
us        : 23
down      : 23
own       : 23
eBook     : 23
than      : 22
re        : 22
each      : 22
these     : 22
take      : 22
true      : 22
thought   : 22
Gutenberg : 21
am        : 21
Though    : 21
Who       : 21
been      : 21
JANE      : 21
men       : 21
some      : 21
don       : 20
make      : 20
oh        : 20
went      : 20
quite     : 20
pretty    : 20
name      : 20
eyes      : 20
sir       : 20
boy       : 20
people    : 19
always    : 19
two       : 18
right     : 18
At        : 18
We        : 18
knew      : 18
get       : 18
course    : 18
has       : 18
Yet       : 18
loved     : 18
about     : 18
took      : 18
give      : 18
come      : 18
even      : 18
half      : 17
did       : 17
long      : 17
er        : 17
found     : 17
face      : 17
How       : 17
rather    : 17
life      : 17
One       : 17
sea       : 17
over      : 17
hand      : 16
SIR       : 16
There     : 16
tell      : 16
many      : 16
far       : 16
head      : 16
eBooks    : 16
told      : 16
ever      : 16
Now       : 16
find      : 16
again     : 16
crew      : 16
simple    : 16
Here      : 15
work      : 15
Lieutenant: 15
often     : 15
OF        : 15
here      : 15
night     : 15
mind      : 15
LIEUTENANT: 15
ALUM      : 15
heart     : 15
years     : 15
saw       : 15
agent     : 14
Where     : 14
On        : 14
GILBERT   : 14
must      : 14
first     : 14
SOMERS    : 14
ANNIE     : 14
SARAH     : 14
into      : 14
still     : 14
King      : 14
EMILY     : 14
just      : 14
BERNARD   : 14
kind      : 14
dear      : 14
O         : 13
Then      : 13
HONGREE   : 13
JAMES     : 13
common    : 13
word      : 13
love      : 13
didn      : 13
thus      : 13
three     : 13
soon      : 13
heard     : 13
age       : 13
through   : 13
GRAY      : 12
THE       : 12
bard      : 12
DE        : 12
grew      : 12
form      : 12
extremely : 12
before    : 12
its       : 12
ship      : 12
those     : 12
worthy    : 12
met       : 12
money     : 12
RODNEY    : 12
began     : 12
answered  : 12
where     : 12
call      : 12
boys      : 12
hard      : 11
woman     : 11
maid      : 11
Sub       : 11
fairy     : 11
GUTENBERG : 11
gave      : 11
BELAYE    : 11
PROJECT   : 11
sent      : 11
want      : 11
things    : 11
Why       : 11
Chassoores: 11
HIS       : 11
BILL      : 11
married   : 11
once      : 11
person    : 11
Bishop    : 11
lay       : 11
doubt     : 11
Your      : 11
used      : 11
wife      : 11
WILLIAM   : 11
anything  : 11
soul      : 11
mother    : 11
both      : 11
bad       : 11
after     : 10
All       : 10
times     : 10
called    : 10
below     : 10
himself   : 10
great     : 10
Canoodle  : 10
CAPTAIN   : 10
sc        : 10
COLONEL   : 10
without   : 10
hundred   : 10
BAILEY    : 10
wasn      : 10
fair      : 10
YOU       : 10
