the       : 826
a         : 637
I         : 628
and       : 586
of        : 546
to        : 530
And       : 502
his       : 324
in        : 311
you       : 302
he        : 288
was       : 220
The       : 217
that      : 212
s         : 201
with      : 183
it        : 181
He        : 172
my        : 163
all       : 158
him       : 156
on        : 153
A         : 147
for       : 145
at        : 141
is        : 139
But       : 136
they      : 135
as        : 133
or        : 125
me        : 124
be        : 122
said      : 116
her       : 114
t         : 109
not       : 107
this      : 101
your      : 100
their     : 92
For       : 89
so        : 86
ll        : 82
ve        : 80
by        : 79
from      : 78
To        : 76
had       : 74
They      : 70
day       : 70
do        : 69
them      : 69
no        : 68
one       : 67
You       : 66
would     : 66
an        : 64
His       : 64
have      : 63
Oh        : 63
if        : 63
will      : 63
when      : 61
little    : 60
With      : 58
man       : 58
very      : 58
are       : 58
S         : 57
It        : 57
who       : 57
were      : 57
d         : 55
PETER     : 55
we        : 53
upon      : 53
MATILDA   : 52
m         : 51
THE       : 51
up        : 50
other     : 50
Ballad    : 49
never     : 49
more      : 49
she       : 48
can       : 48
too       : 47
If        : 46
know      : 46
say       : 46
good      : 45
No        : 45
may       : 45
In        : 44
like      : 44
That      : 43
see       : 43
but       : 43
then      : 41
only      : 40
what      : 40
there     : 40
She       : 39
could     : 39
So        : 38
our       : 38
every     : 38
any       : 38
made      : 37
out       : 37
This      : 36
which     : 36
old       : 36
My        : 35
way       : 35
well      : 34
think     : 33
away      : 33
pretty    : 33
Then      : 31
Of        : 31
much      : 31
should    : 31
men       : 31
tell      : 30
time      : 30
off       : 30
came      : 30
two       : 29
such      : 29
go        : 29
been      : 29
make      : 28
When      : 28
these     : 28
than      : 27
has       : 27
though    : 27
name      : 27
eyes      : 27
poor      : 26
Project   : 26
some      : 26
thought   : 26
don       : 25
As        : 25
am        : 25
CAPTAIN   : 25
young     : 25
Who       : 25
each      : 25
about     : 25
now       : 25
own       : 25
find      : 25
true      : 25
There     : 24
us        : 24
how       : 24
its       : 24
Bishop    : 24
mind      : 24
down      : 24
crew      : 24
half      : 23
did       : 23
OF        : 23
Or        : 23
come      : 23
eBook     : 23
people    : 23
dear      : 23
long      : 22
many      : 22
Gutenberg : 22
re        : 22
here      : 22
must      : 22
heard     : 22
At        : 21
shall     : 21
went      : 21
Now       : 21
Old       : 21
sir       : 21
On        : 20
We        : 20
head      : 20
get       : 20
found     : 20
How       : 20
quite     : 20
take      : 20
work      : 19
course    : 19
captain   : 19
Which     : 19
night     : 19
into      : 19
told      : 19
life      : 19
round     : 19
years     : 19
saw       : 19
hair      : 19
hand      : 18
word      : 18
face      : 18
first     : 18
loved     : 18
Your      : 18
wife      : 18
always    : 18
sea       : 18
SIR       : 17
play      : 17
HIS       : 17
What      : 17
Come      : 17
three     : 17
worthy    : 17
ever      : 17
even      : 17
boy       : 17
fairy     : 16
didn      : 16
gave      : 16
before    : 16
please    : 16
eBooks    : 16
Yet       : 16
took      : 16
Said      : 16
One       : 16
over      : 16
thing     : 15
Though    : 15
er        : 15
GILBERT   : 15
want      : 15
ANNIE     : 15
HONGREE   : 14
maid      : 14
agent     : 14
bard      : 14
Lieutenant: 14
often     : 14
grew      : 14
oh        : 14
YOU       : 14
SOMERS    : 14
LIEUTENANT: 14
answered  : 14
again     : 14
mother    : 14
duty      : 14
kind      : 14
friend    : 14
called    : 13
Go        : 13
might     : 13
far       : 13
extremely : 13
fair      : 13
those     : 13
once      : 13
money     : 13
wrong     : 13
King      : 13
days      : 13
WILLIAM   : 13
began     : 13
anything  : 13
just      : 13
soon      : 13
soul      : 13
age       : 13
where     : 13
call      : 13
most      : 13
also      : 13
curate    : 13
times     : 12
Their     : 12
GRAY      : 12
right     : 12
back      : 12
TO        : 12
while     : 12
hear      : 12
thou      : 12
thus      : 12
things    : 12
free      : 12
ship      : 12
gentle    : 12
let       : 12
rather    : 12
mad       : 12
still     : 12
RODNEY    : 12
give      : 12
MRS       : 12
REECE     : 12
T         : 11
hard      : 11
length    : 11
Sub       : 11
seven     : 11
common    : 11
eat       : 11
Where     : 11
By        : 11
Is        : 11
argued    : 11
knew      : 11
BELAYE    : 11
hundred   : 11
Why       : 11
Chassoores: 11
BAINES    : 11
married   : 11
gentleman : 11
week      : 11
fellow    : 11
dance     : 11
used      : 11
whom      : 11
ghost     : 11
cook      : 11
cannot    : 11
case      : 11
simple    : 11
bad       : 11
begin     : 11
better    : 10
All       : 10
says      : 10
state     : 10
stay      : 10
loud      : 10
DEY       : 10
stop      : 10
An        : 10
GUTENBERG : 10
elderly   : 10
himself   : 10
black     : 10
form      : 10
PIERRE    : 10
sc        : 10
PROJECT   : 10
sent      : 10
without   : 10
got       : 10
happy     : 10
Well      : 10
JOHN      : 10
show      : 10
Her       : 10
MISTER    : 10
sight     : 10
left      : 10
doubt     : 10
done      : 10
twenty    : 10
met       : 10
girl      : 10
wish      : 10
AND       : 10
dancing   : 10
horrible  : 10
O         : 9
after     : 9
Act       : 9
thy       : 9
woman     : 9
maidens   : 9
tear      : 9
Rum       : 9
going     : 9
Here      : 9
states    : 9
use       : 9
love      : 9
OR        : 9
rage      : 9
From      : 9
seen      : 9
ti        : 9
PALEY     : 9
lady      : 9
HANCE     : 9
McCLAN    : 9
gallant   : 9
something : 9
fact      : 9
maiden    : 9
decent    : 9
lead      : 9
person    : 9
JANE      : 9
floor     : 9
haughty   : 9
couldn    : 9
Men       : 9
Good      : 9
within    : 9
through   : 9
bold      : 9
enough    : 9
sit       : 9
ten       : 8
p         : 8
BOB       : 8
try       : 8
ELLEN     : 8
Time      : 8
year      : 8
seventy   : 8
LA        : 8
MR        : 8
eye       : 8
great     : 8
Canoodle  : 8
second    : 8
London    : 8
Please    : 8
dress     : 8
TOOTLE    : 8
marry     : 8
last      : 8
ways      : 8
small     : 8
sometimes : 8
friends   : 8
honour    : 8
Captain   : 8
church    : 8
looked    : 8
BLAKE     : 8
daily     : 8
joy       : 8
sailor    : 8
however   : 8
sing      : 8
JIMMY     : 8
pray      : 8
thirty    : 8
lot       : 8
smiled    : 8
mine      : 8
wouldn    : 8
feel      : 8
McJONES   : 8
CAREW     : 8
Remember  : 8
country   : 8
Nancy     : 8
Dear      : 8
goblin    : 8
EMILY     : 8
passed    : 8
hope      : 8
fine      : 8
turtle    : 8
heart     : 8
five      : 8
ABERDEEN  : 8
FREDERICK : 8
Christmas : 8
both      : 8
set       : 8
several   : 8
morning   : 8
GUERRE    : 7
gone      : 7
cut       : 7
These     : 7
house     : 7
ALACK     : 7
