the            : 4189
of             : 2259
and            : 1957
to             : 1781
a              : 1664
is             : 1249
in             : 1114
I              : 946
it             : 794
as             : 653
that           : 646
was            : 595
at             : 481
not            : 473
which          : 473
but            : 470
on             : 454
be             : 450
one            : 435
are            : 428
or             : 422
for            : 421
The            : 417
he             : 403
with           : 379
from           : 352
have           : 348
by             : 345
we             : 313
they           : 310
there          : 300
this           : 294
so             : 275
his            : 271
all            : 258
them           : 257
had            : 247
were           : 222
an             : 213
than           : 208
will           : 204
more           : 195
s              : 191
upon           : 186
It             : 181
who            : 181
do             : 172
very           : 169
can            : 159
if             : 158
been           : 158
some           : 158
about          : 154
no             : 153
when           : 146
would          : 143
me             : 142
has            : 142
good           : 137
him            : 136
any            : 134
their          : 131
other          : 131
church         : 130
little         : 129
much           : 126
up             : 124
said           : 123
people         : 117
out            : 116
like           : 114
two            : 113
should         : 113
say            : 110
There          : 105
my             : 102
us             : 102
S              : 100
may            : 100
old            : 98
see            : 97
He             : 95
what           : 93
must           : 92
day            : 91
time           : 91
found          : 90
its            : 89
over           : 89
place          : 87
above          : 84
being          : 83
could          : 83
only           : 82
into           : 82
well           : 81
man            : 81
these          : 81
down           : 80
Italian        : 80
great          : 80
most           : 79
This           : 79
though         : 78
did            : 77
St             : 77
way            : 77
We             : 76
you            : 76
where          : 74
after          : 73
seen           : 73
again          : 72
go             : 71
first          : 71
now            : 70
side           : 70
our            : 69
A              : 68
even           : 68
valley         : 68
also           : 68
know           : 68
think          : 67
made           : 67
many           : 67
once           : 67
those          : 66
such           : 65
years          : 65
however        : 63
If             : 62
her            : 62
another        : 61
make           : 60
small          : 60
three          : 60
through        : 60
saw            : 60
too            : 60
she            : 59
get            : 58
work           : 58
here           : 58
give           : 58
last           : 57
before         : 57
come           : 57
They           : 57
never          : 57
then           : 57
In             : 56
feet           : 56
better         : 55
few            : 55
came           : 55
At             : 54
does           : 54
year           : 53
how            : 53
top            : 53
long           : 53
each           : 53
part           : 53
days           : 53
went           : 52
itself         : 52
nothing        : 51
Monte          : 51
during         : 51
On             : 50
between        : 50
just           : 50
find           : 50
off            : 49
left           : 48
under          : 48
still          : 48
chapel         : 47
shall          : 47
told           : 47
near           : 46
English        : 46
same           : 46
ofthe          : 46
every          : 46
men            : 45
while          : 45
Italy          : 45
among          : 43
take           : 43
half           : 43
Item           : 43
am             : 42
whether        : 42
monastery      : 41
done           : 41
own            : 41
round          : 41
mountain       : 41
given          : 41
thought        : 41
quite          : 40
less           : 40
indeed         : 40
whole          : 40
road           : 40
As             : 39
therefore      : 39
large          : 39
hand           : 39
fine           : 39
And            : 38
thing          : 38
end            : 38
From           : 38
view           : 38
village        : 38
look           : 38
without        : 38
beautiful      : 37
far            : 37
best           : 37
matter         : 37
nor            : 37
except         : 36
point          : 36
cannot         : 36
times          : 35
going          : 35
lake           : 35
right          : 35
things         : 35
rather         : 35
music          : 35
name           : 35
below          : 34
got            : 34
both           : 34
Then           : 34
called         : 34
high           : 34
town           : 34
di             : 33
almost         : 33
wall           : 33
let            : 33
book           : 33
century        : 33
path           : 33
sanctuary      : 32
reached        : 32
life           : 32
perhaps        : 32
frescoes       : 32
already        : 32
places         : 31
England        : 31
looked         : 31
put            : 31
young          : 31
summer         : 31
hardly         : 30
castle         : 30
whom           : 30
anything       : 30
pass           : 30
soon           : 30
art            : 30
enough         : 30
London         : 29
level          : 29
always         : 29
looking        : 29
Handel         : 29
either         : 29
themselves     : 28
himself        : 28
Turin          : 28
Faido          : 28
full           : 28
keep           : 28
Project        : 28
kind           : 28
Here           : 28
Oropa          : 28
head           : 28
course         : 28
Mesocco        : 28
till           : 28
taken          : 28
heard          : 28
back           : 27
ever           : 27
behind         : 27
room           : 26
main           : 26
etext          : 26
others         : 26
might          : 26
Signor         : 26
hour           : 26
air            : 26
p              : 25
But            : 25
hundred        : 25
When           : 25
example        : 25
door           : 25
monks          : 25
wine           : 25
water          : 25
word           : 25
something      : 25
CHAPTER        : 25
nearly         : 25
five           : 25
several        : 25
No             : 24
four           : 24
having         : 24
For            : 24
What           : 24
open           : 24
against        : 24
kept           : 24
One            : 24
Val            : 24
sketch         : 23
de             : 23
second         : 23
present        : 23
words          : 23
mind           : 23
comes          : 23
evening        : 23
building       : 23
later          : 23
feast          : 23
leave          : 23
show           : 23
neighbourhood  : 23
bread          : 23
myself         : 23
unless         : 23
Mr             : 22
effect         : 22
After          : 22
inn            : 22
new            : 22
certain        : 22
pay            : 22
painted        : 22
six            : 22
house          : 22
hotel          : 22
winter         : 22
beyond         : 22
sometimes      : 22
close          : 22
reason         : 22
rest           : 22
away           : 22
took           : 22
used           : 22
date           : 22
Dalpe          : 22
else           : 21
bird           : 21
along          : 21
turned         : 21
built          : 21
often          : 21
yet            : 21
fact           : 21
making         : 21
country        : 21
chestnuts      : 21
ago            : 21
written        : 21
picture        : 20
outside        : 20
la             : 20
pictures       : 20
excellent      : 20
quiet          : 20
walls          : 20
mountains      : 20
painter        : 20
monk           : 20
eyes           : 20
inthe          : 20
whose          : 20
painting       : 20
within         : 20
morning        : 20
These          : 19
trees          : 19
stay           : 19
To             : 19
sure           : 19
power          : 19
lady           : 19
want           : 19
poor           : 19
number         : 19
Italians       : 19
believe        : 19
money          : 19
sea            : 19
friend         : 19
doing          : 19
probably       : 19
white          : 19
visit          : 19
become         : 19
seemed         : 19
passed         : 19
return         : 19
river          : 19
woman          : 18
Giovanni       : 18
Lago           : 18
piece          : 18
form           : 18
understand     : 18
walk           : 18
early          : 18
able           : 18
nice           : 18
Ambrogio       : 18
villages       : 18
your           : 18
hours          : 18
use            : 18
remarkable     : 18
sound          : 18
Virgin         : 18
following      : 18
chapels        : 18
generally      : 18
ground         : 18
began          : 18
inside         : 18
deal           : 18
cut            : 17
remember       : 17
seems          : 17
Gutenberg      : 17
foot           : 17
Mendrisio      : 17
world          : 17
week           : 17
modern         : 17
German         : 17
coming         : 17
higher         : 17
towards        : 17
says           : 17
grass          : 17
Ticino         : 17
hands          : 17
least          : 17
arch           : 17
beginning      : 17
Hotel          : 17
fresco         : 17
North          : 17
hill           : 17
together       : 17
fire           : 17
further        : 16
known          : 16
faith          : 16
lie            : 16
Roman          : 16
line           : 16
score          : 16
spring         : 16
andthe         : 16
asked          : 16
certainly      : 16
clock          : 16
Fusio          : 16
Varallo        : 16
seeing         : 16
night          : 16
means          : 16
because        : 16
cheese         : 16
hold           : 16
abbot          : 16
case           : 16
became         : 15
wanted         : 15
So             : 15
comfortable    : 15
friends        : 15
houses         : 15
receive        : 15
Michele        : 15
neither        : 15
prior          : 15
set            : 15
nature         : 15
San            : 15
She            : 15
seem           : 15
everything     : 15
While          : 15
doubt          : 15
tobe           : 15
bring          : 15
Jones          : 15
call           : 15
bad            : 15
office         : 15
boy            : 15
rock           : 15
turn           : 14
taking         : 14
short          : 14
flowers        : 14
third          : 14
common         : 14
La             : 14
next           : 14
et             : 14
pittance       : 14
land           : 14
rooms          : 14
parts          : 14
Madonna        : 14
provide        : 14
whatever       : 14
Gothard        : 14
live           : 14
per            : 14
sun            : 14
children       : 14
tell           : 14
priest         : 14
knew           : 14
single         : 14
miles          : 14
person         : 14
twenty         : 14
felt           : 14
artist         : 14
space          : 14
valleys        : 14
c              : 13
e              : 13
o              : 13
Susa           : 13
All            : 13
shown          : 13
business       : 13
across         : 13
eat            : 13
need           : 13
eye            : 13
easily         : 13
likely         : 13
bridge         : 13
chow           : 13
rule           : 13
saying         : 13
How            : 13
Michael        : 13
convent        : 13
books          : 13
alone          : 13
wide           : 13
Graglia        : 13
bottom         : 13
Sacro          : 13
ten            : 13
railway        : 13
possible       : 13
drawing        : 13
remains        : 13
hospice        : 13
Shakespeare    : 13
returned       : 13
Bernardino     : 13
especially     : 13
sight          : 13
plain          : 13
paid           : 13
character      : 13
family         : 13
rocks          : 13
snow           : 13
Englishmen     : 13
true           : 13
couple         : 13
Mary           : 13
Biella         : 13
question       : 12
lying          : 12
stream         : 12
Oh             : 12
da             : 12
colour         : 12
spite          : 12
leaving        : 12
fancy          : 12
minutes        : 12
bits           : 12
sense          : 12
non            : 12
image          : 12
sketching      : 12
lower          : 12
evidently      : 12
none           : 12
Alps           : 12
wish           : 12
light          : 12
commonly       : 12
plants         : 12
beauty         : 12
change         : 12
doubtless      : 12
wit            : 12
fromthe        : 12
rate           : 12
pilgrims       : 12
steps          : 12
important      : 12
upper          : 12
easy           : 12
appear         : 12
mistake        : 12
follows        : 12
child          : 12
manner         : 12
intended       : 12
seasoning      : 12
general        : 12
since          : 12
spot           : 12
care           : 12
living         : 12
animals        : 12
lovely         : 12
festa          : 11
order          : 11
pound          : 11
due            : 11
interest       : 11
visitors       : 11
An             : 11
By             : 11
tried          : 11
black          : 11
window         : 11
looks          : 11
choir          : 11
reader         : 11
Varese         : 11
religion       : 11
impression     : 11
master         : 11
actually       : 11
worth          : 11
entered        : 11
works          : 11
cross          : 11
August         : 11
draw           : 11
absolutely     : 11
account        : 11
serve          : 11
red            : 11
system         : 11
alpe           : 11
boys           : 11
getting        : 11
sky            : 11
table          : 11
makes          : 11
idea           : 11
hard           : 11
That           : 11
caught         : 11
moment         : 11
liked          : 11
clouds         : 11
why            : 11
gave           : 11
help           : 11
thus           : 11
Christ         : 11
John           : 11
tothe          : 11
dinner         : 11
thinking       : 11
Church         : 11
interesting    : 11
stones         : 11
tower          : 11
inscription    : 11
feel           : 11
ourselves      : 11
scratched      : 11
buildings      : 11
rich           : 11
carriage       : 11
gives          : 11
home           : 11
birds          : 11
age            : 11
Catholic       : 11
broad          : 11
Lombard        : 11
Carlo          : 11
pleasure       : 11
Giornico       : 11
d              : 10
readers        : 10
walked         : 10
women          : 10
thousand       : 10
circumstances  : 10
infirmary      : 10
actual         : 10
Butler         : 10
dog            : 10
expression     : 10
mass           : 10
cattle         : 10
grow           : 10
placed         : 10
il             : 10
sufficient     : 10
Pietro         : 10
earlier        : 10
thatthe        : 10
meat           : 10
death          : 10
longer         : 10
distance       : 10
Locarno        : 10
brought        : 10
ones           : 10
chamois        : 10
floor          : 10
mile           : 10
prepared       : 10
Street         : 10
contains       : 10
pretty         : 10
Another        : 10
wife           : 10
copy           : 10
Also           : 10
blue           : 10
giving         : 10
clear          : 10
rough          : 10
altar          : 10
hair           : 10
save           : 10
subject        : 10
rapidly        : 10
lost           : 10
Soazza         : 10
held           : 10
north          : 10
Leventina      : 10
Airolo         : 10
garden         : 10
nevertheless   : 10
showed         : 10
according      : 10
Claretta       : 10
daily          : 10
original       : 10
servant        : 10
gentleman      : 10
reach          : 10
Christopher    : 10
past           : 10
middle         : 10
Maria          : 10
Some           : 10
expense        : 10
Many           : 10
greater        : 10
dead           : 10
bed            : 10
deep           : 10
paint          : 10
stone          : 10
ascent         : 9
quarters       : 9
gallery        : 9
del            : 9
quarter        : 9
company        : 9
knows          : 9
Peter          : 9
My             : 9
continued      : 9
regret         : 9
votive         : 9
mean           : 9
answer         : 9
eight          : 9
His            : 9
drawings       : 9
Ronco          : 9
Prato          : 9
month          : 9
height         : 9
animal         : 9
proper         : 9
believed       : 9
slopes         : 9
stayed         : 9
trifle         : 9
Crucifixion    : 9
Rossura        : 9
saint          : 9
della          : 9
Etexts         : 9
try            : 9
Generoso       : 9
state          : 9
priests        : 9
Calpiognia     : 9
seven          : 9
green          : 9
attention      : 9
reasonable     : 9
names          : 9
Why            : 9
killed         : 9
weeks          : 9
Paul           : 9
pittancer      : 9
regards        : 9
thirty         : 9
unable         : 9
principal      : 9
whereas        : 9
fell           : 9
Holy           : 9
crossing       : 9
lived          : 9
suppose        : 9
dark           : 9
desire         : 9
trying         : 9
sort           : 9
ought          : 9
public         : 9
Triulci        : 9
itis           : 9
amount         : 9
bit            : 9
Sometimes      : 9
che            : 8
gone           : 8
rose           : 8
numbers        : 8
Maggiore       : 8
Lombardy       : 8
OF             : 8
OR             : 8
forms          : 8
presently      : 8
fly            : 8
bells          : 8
reading        : 8
churches       : 8
scale          : 8
masters        : 8
hat            : 8
impossible     : 8
delightful     : 8
organ          : 8
concerning     : 8
mere           : 8
respect        : 8
different      : 8
produce        : 8
lay            : 8
Calonico       : 8
met            : 8
exactly        : 8
received       : 8
Biasca         : 8
Canton         : 8
speaking       : 8
cold           : 8
lies           : 8
note           : 8
nose           : 8
begins         : 8
cloister       : 8
respects       : 8
illustrations  : 8
appears        : 8
Our            : 8
sorry          : 8
strength       : 8
run            : 8
damage         : 8
beautifully    : 8
sat            : 8
brilliant      : 8
bound          : 8
striking       : 8
sum            : 8
growing        : 8
really         : 8
struck         : 8
cantor         : 8
waiter         : 8
stand          : 8
wood           : 8
Piora          : 8
lord           : 8
learn          : 8
expected       : 8
rare           : 8
hear           : 8
self           : 8
Bonaudo        : 8
preserved      : 8
Cristoforo     : 8
