the       : 1111
and       : 1081
of        : 671
to        : 639
a         : 573
in        : 466
I         : 454
her       : 353
it        : 350
that      : 338
you       : 324
was       : 282
said      : 272
his       : 263
as        : 249
with      : 242
he        : 222
s         : 206
Mr        : 197
she       : 196
at        : 188
for       : 181
had       : 155
be        : 151
on        : 149
Snitchey  : 147
him       : 138
is        : 137
t         : 135
not       : 130
this      : 130
by        : 127
so        : 123
have      : 118
Craggs    : 116
Doctor    : 114
my        : 111
but       : 110
all       : 101
Clemency  : 101
if        : 97
me        : 97
or        : 97
were      : 95
The       : 94
upon      : 92
Marion    : 92
one       : 89
from      : 87
Britain   : 81
which     : 80
no        : 80
know      : 78
Grace     : 77
It        : 74
Alfred    : 74
an        : 72
they      : 72
day       : 70
very      : 68
them      : 68
your      : 68
there     : 68
He        : 66
what      : 66
would     : 64
we        : 63
out       : 63
when      : 62
time      : 62
And       : 61
now       : 61
old       : 61
up        : 58
been      : 57
But       : 56
face      : 55
do        : 53
never     : 53
more      : 51
its       : 50
like      : 49
sister    : 49
are       : 49
who       : 48
down      : 47
made      : 47
us        : 46
how       : 46
other     : 46
good      : 45
long      : 45
into      : 45
head      : 45
will      : 45
could     : 45
any       : 45
too       : 44
don       : 44
Mrs       : 44
returned  : 44
sir       : 44
She       : 42
such      : 42
looked    : 42
You       : 42
night     : 41
about     : 41
am        : 41
may       : 40
great     : 40
again     : 40
dear      : 40
little    : 40
can       : 40
here      : 39
some      : 39
away      : 38
man       : 38
think     : 37
has       : 37
then      : 36
say       : 36
world     : 36
than      : 35
well      : 34
their     : 34
eyes      : 34
That      : 33
Warden    : 33
come      : 33
our       : 33
much      : 33
love      : 32
If        : 32
looking   : 32
Yes       : 32
house     : 31
look      : 31
life      : 31
before    : 31
client    : 31
There     : 30
own       : 30
after     : 29
hand      : 29
back      : 29
many      : 29
might     : 29
round     : 29
over      : 29
What      : 29
should    : 29
better    : 28
knew      : 28
wife      : 28
these     : 28
heart     : 28
A         : 27
Oh        : 27
years     : 27
where     : 27
see       : 27
two       : 26
himself   : 26
seemed    : 26
even      : 26
thought   : 26
did       : 25
being     : 25
replied   : 25
Not       : 25
cried     : 25
tell      : 24
ground    : 24
Project   : 24
same      : 23
among     : 23
hands     : 23
No        : 23
perhaps   : 23
etext     : 23
ll        : 22
home      : 22
every     : 22
always    : 22
Jeddler   : 21
make      : 21
still     : 21
without   : 21
ever      : 21
must      : 21
yet       : 21
something : 21
only      : 21
right     : 20
though    : 20
To        : 20
young     : 20
light     : 20
sat       : 20
observed  : 19
give      : 19
sure      : 19
ha        : 19
last      : 19
true      : 19
through   : 19
both      : 19
battle    : 19
herself   : 19
half      : 18
done      : 18
going     : 18
anything  : 18
happy     : 18
having    : 18
Why       : 18
came      : 18
Michael   : 17
each      : 17
door      : 17
husband   : 17
easy      : 17
Ben       : 17
against   : 17
We        : 17
way       : 17
off       : 17
hear      : 17
soon      : 17
return    : 17
those     : 17
most      : 17
stood     : 17
m         : 16
moment    : 16
business  : 16
word      : 16
voice     : 16
took      : 16
shall     : 16
Let       : 16
another   : 16
So        : 16
get       : 16
people    : 16
first     : 16
towards   : 16
quiet     : 15
gone      : 15
went      : 15
They      : 15
bright    : 15
part      : 15
feet      : 15
men       : 15
Do        : 15
told      : 15
In        : 15
why       : 15
go        : 15
Don       : 15
Well      : 15
YOU       : 15
trust     : 15
ago       : 15
nothing   : 15
stranger  : 15
everything: 15
once      : 15
between   : 15
When      : 15
quite     : 14
times     : 14
trees     : 14
new       : 14
dance     : 14
lawyer    : 14
lips      : 14
hope      : 14
since     : 14
answered  : 14
until     : 14
name      : 14
How       : 14
office    : 14
morning   : 14
place     : 14
left      : 13
serious   : 13
matter    : 13
shook     : 13
Here      : 13
month     : 13
subject   : 13
open      : 13
often     : 13
Gutenberg : 13
eye       : 13
didn      : 13
whom      : 13
lady      : 13
birth     : 13
manner    : 13
want      : 13
sort      : 13
please    : 13
father    : 13
air       : 13
read      : 13
table     : 13
married   : 13
friend    : 13
sun       : 13
room      : 12
let       : 12
full      : 12
short     : 12
Self      : 12
believe   : 12
fell      : 12
remember  : 12
music     : 12
orchard   : 12
Ah        : 12
asked     : 12
else      : 12
re        : 12
arms      : 12
Newcome   : 12
put       : 12
general   : 12
just      : 12
together  : 12
fire      : 12
speak     : 12
