the            : 634
I              : 466
to             : 443
a              : 436
of             : 426
and            : 353
you            : 325
in             : 245
is             : 232
for            : 200
my             : 188
d              : 176
be             : 173
have           : 150
me             : 144
that           : 143
as             : 141
are            : 136
with           : 131
your           : 118
her            : 113
s              : 112
not            : 112
PEACHUM        : 108
it             : 104
this           : 96
so             : 95
all            : 92
his            : 90
But            : 88
Polly          : 88
or             : 86
we             : 86
him            : 82
can            : 81
The            : 79
will           : 78
he             : 77
POLLY          : 74
at             : 73
MACHEATH       : 73
And            : 72
LUCY           : 68
AIR            : 68
our            : 67
If             : 66
must           : 64
upon           : 62
by             : 62
was            : 58
us             : 56
hath           : 55
MRS            : 55
may            : 54
from           : 54
shall          : 53
one            : 53
any            : 53
she            : 52
if             : 50
Man            : 50
but            : 50
A              : 48
do             : 48
no             : 48
am             : 47
know           : 47
You            : 47
c              : 45
they           : 45
Love           : 45
should         : 45
Sir            : 44
now            : 44
what           : 44
other          : 44
would          : 43
them           : 43
then           : 43
Woman          : 43
more           : 43
LOCKIT         : 41
who            : 41
Peachum        : 40
To             : 40
on             : 40
like           : 40
t              : 39
Wife           : 39
thee           : 39
an             : 37
out            : 37
own            : 37
Dear           : 37
ever           : 37
their          : 37
see            : 37
Husband        : 36
make           : 35
Macheath       : 35
Captain        : 34
too            : 33
ll             : 32
Lucy           : 32
could          : 32
What           : 32
hang           : 31
been           : 31
Heart          : 30
Ladies         : 30
good           : 29
Madam          : 29
We             : 29
there          : 29
tis            : 28
never          : 28
Project        : 28
how            : 28
Money          : 28
way            : 27
sure           : 27
very           : 27
had            : 27
time           : 27
than           : 26
take           : 26
dear           : 26
When           : 26
about          : 25
Tis            : 25
Wench          : 25
Mrs            : 25
Enter          : 25
O              : 24
think          : 24
thing          : 24
give           : 24
get            : 24
thou           : 24
Women          : 24
such           : 23
when           : 23
etext          : 23
Gentlemen      : 23
thy            : 22
well           : 22
up             : 22
most           : 22
were           : 21
two            : 21
another        : 21
Why            : 21
For            : 21
fine           : 21
every          : 21
always         : 21
only           : 21
Life           : 20
made           : 20
go             : 20
off            : 20
here           : 20
these          : 20
nothing        : 20
might          : 19
come           : 19
Brother        : 19
How            : 19
MATT           : 19
better         : 18
leave          : 18
Men            : 18
Hussy          : 18
