y              : 737
yn             : 603
r              : 600
i              : 465
a              : 416
ei             : 274
A              : 266
fy             : 265
ar             : 240
n              : 227
o              : 209
Yn             : 174
yr             : 150
I              : 129
O              : 128
Mae            : 111
Y              : 106
Ond            : 105
mae            : 97
ac             : 97
Ac             : 95
dy             : 92
Ar             : 89
am             : 86
oedd           : 82
the            : 70
m              : 62
Fe             : 62
fel            : 61
to             : 60
gan            : 60
hen            : 60
na             : 59
yw             : 59
un             : 53
of             : 52
th             : 48
wrth           : 47
ni             : 45
Pan            : 44
hi             : 42
ond            : 42
ti             : 41
you            : 41
Menna          : 40
or             : 40
fi             : 38
ol             : 38
mewn           : 38
and            : 38
ein            : 37
at             : 37
byd            : 37
Mi             : 36
eu             : 35
hun            : 35
sydd           : 35
gyda           : 34
R              : 33
haul           : 33
don            : 33
di             : 33
er             : 33
ALAW           : 33
w              : 32
Wrth           : 32
wedi           : 32
mi             : 31
Project        : 31
mor            : 30
Fy             : 30
eto            : 30
Yr             : 30
mynydd         : 30
fod            : 30
this           : 30
ben            : 30
dyn            : 29
nos            : 29
Cymru          : 29
etext          : 29
anwyl          : 29
hyd            : 29
fe             : 28
awr            : 28
Fel            : 27
hon            : 27
nghalon        : 27
hyn            : 27
byw            : 27
Gutenberg      : 26
ef             : 26
tros           : 26
Gan            : 26
dydd           : 25
nef            : 25
wen            : 25
wlad           : 25
bach           : 24
Na             : 24
by             : 24
in             : 24
tan            : 24
erioed         : 23
mam            : 23
ydyw           : 23
mawr           : 23
efo            : 23
Os             : 23
be             : 23
is             : 23
fyw            : 23
sy             : 23
galon          : 23
c              : 22
Rwy            : 22
awel           : 22
gwyn           : 21
byth           : 21
nid            : 21
fam            : 21
gad            : 21
afon           : 20
Mewn           : 20
Ceiriog        : 20
for            : 20
oes            : 20
pan            : 20
yno            : 20
chwi           : 20
edrych         : 20
Gymru          : 19
heb            : 19
Fod            : 19
imi            : 19
farw           : 19
mwyn           : 19
canu           : 19
Yng            : 19
can            : 19
lan            : 18
fan            : 18
trwy           : 18
are            : 18
mynd           : 17
lle            : 17
dan            : 17
dod            : 17
Am             : 17
Tra            : 17
Pe             : 17
it             : 17
Duw            : 17
Nes            : 17
lawr           : 17
ddaw           : 17
other          : 17
gwynt          : 16
Ni             : 16
nefoedd        : 16
ganu           : 16
fu             : 16
draw           : 16
Wen            : 16
hwn            : 16
iawn           : 16
fawr           : 16
uwch           : 16
Aberdyfi       : 16
hynny          : 16
ffordd         : 15
os             : 15
coed           : 15
your           : 15
fydd           : 15
wyneb          : 15
bychan         : 15
bedd           : 15
any            : 15
u              : 14
may            : 14
marw           : 14
Ei             : 14
Er             : 14
nes            : 14
Trwy           : 14
daeth          : 14
rhwng          : 14
fyd            : 14
oll            : 14
llawer         : 14
fyny           : 14
wawr           : 14
yng            : 14
