the            : 2647
and            : 2140
to             : 1754
a              : 1330
of             : 1330
was            : 1253
I              : 944
in             : 908
it             : 836
that           : 728
you            : 704
he             : 679
not            : 668
her            : 588
is             : 577
but            : 544
had            : 536
for            : 492
she            : 481
with           : 466
his            : 449
as             : 415
Mr             : 410
be             : 409
have           : 380
s              : 379
at             : 370
him            : 367
Furze          : 346
on             : 344
which          : 284
Mrs            : 284
He             : 275
Catharine      : 262
were           : 255
what           : 250
by             : 230
The            : 220
do             : 214
would          : 212
there          : 211
It             : 210
so             : 207
if             : 206
all            : 204
t              : 203
She            : 201
no             : 200
or             : 199
are            : 197
said           : 193
been           : 188
one            : 185
Tom            : 180
we             : 175
when           : 175
they           : 172
will           : 171
me             : 170
this           : 161
could          : 159
Cardew         : 159
did            : 149
from           : 149
up             : 148
out            : 145
who            : 139
my             : 138
an             : 129
more           : 129
went           : 128
know           : 126
them           : 125
say            : 125
very           : 119
any            : 119
into           : 115
about          : 114
go             : 110
You            : 110
than           : 108
much           : 107
came           : 105
your           : 102
some           : 102
am             : 101
before         : 97
after          : 94
like           : 94
may            : 93
never          : 91
nothing        : 91
Miss           : 91
down           : 90
has            : 89
Jim            : 89
should         : 88
just           : 87
little         : 86
can            : 85
day            : 84
their          : 83
now            : 82
see            : 81
time           : 80
What           : 80
man            : 80
over           : 80
better         : 79
then           : 79
us             : 78
way            : 77
other          : 77
again          : 75
two            : 74
might          : 74
himself        : 73
thought        : 70
only           : 69
even           : 69
Eastthorpe     : 68
knew           : 68
There          : 67
don            : 67
come           : 67
put            : 67
If             : 64
how            : 64
upon           : 64
such           : 63
Bellamy        : 63
well           : 62
own            : 62
think          : 61
cannot         : 61
good           : 60
room           : 60
love           : 60
took           : 59
because        : 58
father         : 58
most           : 58
people         : 57
mother         : 57
here           : 56
Phoebe         : 56
back           : 55
something      : 55
its            : 55
always         : 55
too            : 54
must           : 54
night          : 54
shall          : 53
last           : 53
our            : 53
ever           : 53
take           : 53
home           : 53
house          : 52
made           : 52
make           : 52
quite          : 52
half           : 50
But            : 50
new            : 50
They           : 49
once           : 49
door           : 49
herself        : 49
A              : 48
life           : 48
morning        : 48
God            : 47
moment         : 46
another        : 46
We             : 46
shop           : 46
Catchpole      : 45
tell           : 45
perhaps        : 45
those          : 45
give           : 45
through        : 45
saw            : 45
dear           : 45
looked         : 44
wife           : 44
Colston        : 44
thing          : 43
without        : 43
Why            : 43
first          : 42
done           : 42
mind           : 42
anything       : 42
hand           : 41
called         : 41
Oh             : 41
although       : 41
left           : 41
felt           : 41
told           : 40
That           : 39
No             : 39
sure           : 39
seen           : 39
yet            : 39
world          : 39
Terrace        : 39
round          : 39
woman          : 38
right          : 38
being          : 38
want           : 38
death          : 38
His            : 38
When           : 38
days           : 38
heard          : 38
eyes           : 38
far            : 37
Well           : 37
also           : 37
great          : 36
get            : 36
however        : 36
husband        : 36
money          : 36
where          : 36
long           : 35
At             : 35
course         : 35
face           : 35
place          : 35
three          : 35
ought          : 35
business       : 34
word           : 34
head           : 34
mean           : 34
away           : 34
same           : 33
gone           : 33
water          : 33
going          : 33
leave          : 33
In             : 33
next           : 33
Yes            : 33
turned         : 33
sat            : 33
many           : 32
ll             : 32
till           : 32
reason         : 32
matter         : 32
whom           : 32
old            : 32
years          : 32
young          : 31
Ponsonby       : 31
church         : 31
poor           : 31
read           : 31
taken          : 31
believe        : 31
against        : 31
got            : 30
side           : 30
part           : 30
true           : 30
kind           : 30
work           : 29
often          : 29
off            : 29
really         : 29
look           : 28
As             : 28
why            : 28
found          : 28
still          : 28
least          : 27
window         : 27
ve             : 27
things         : 27
week           : 27
men            : 27
wish           : 27
every          : 27
d              : 26
save           : 26
use            : 26
bridge         : 26
Project        : 26
under          : 25
To             : 25
help           : 25
understand     : 25
yer            : 25
Mike           : 25
let            : 25
town           : 25
these          : 25
Now            : 25
ain            : 25
times          : 24
This           : 24
Dr             : 24
end            : 24
My             : 24
replied        : 24
Her            : 24
How            : 24
brought        : 24
does           : 24
girl           : 24
nor            : 24
given          : 24
enough         : 24
Do             : 23
few            : 23
gate           : 23
present        : 23
everything     : 23
person         : 23
myself         : 23
eBook          : 23
bit            : 23
rose           : 22
Then           : 22
Gutenberg      : 22
Farm           : 22
point          : 22
friends        : 22
Turnbull       : 22
open           : 22
Sunday         : 22
Eaton          : 22
find           : 22
call           : 22
bed            : 22
friend         : 22
turn           : 21
walked         : 21
became         : 21
asked          : 21
beyond         : 21
power          : 21
anybody        : 21
worse          : 21
daughter       : 21
rather         : 21
whole          : 21
passed         : 21
evening        : 21
itself         : 21
book           : 21
sir            : 21
tea            : 20
straight       : 20
says           : 20
near           : 20
ofthe          : 20
CHAPTER        : 20
full           : 20
met            : 20
Charmides      : 20
wrong          : 20
seemed         : 20
light          : 20
hope           : 20
together       : 20
five           : 20
both           : 20
stood          : 20
Abchurch       : 19
form           : 19
almost         : 19
walk           : 19
lay            : 19
doctor         : 19
each           : 19
doubt          : 19
though         : 19
lived          : 19
alone          : 19
suppose        : 19
strange        : 19
speak          : 19
Lord           : 19
behind         : 19
towards        : 19
die            : 18
known          : 18
looking        : 18
gave           : 18
hear           : 18
usual          : 18
sent           : 18
dinner         : 18
between        : 18
cause          : 18
hour           : 18
truth          : 18
set            : 18
son            : 18
upstairs       : 18
nobody         : 18
order          : 17
And            : 17
opened         : 17
chair          : 17
history        : 17
able           : 17
Gosford        : 17
afternoon      : 17
loved          : 17
perfectly      : 17
paid           : 17
feel           : 17
above          : 17
sovereign      : 17
used           : 17
generally      : 17
child          : 17
meeting        : 17
ask            : 17
road           : 17
subject        : 16
due            : 16
remember       : 16
year           : 16
while          : 16
notice         : 16
best           : 16
eBooks         : 16
silent         : 16
particular     : 16
altogether     : 16
certain        : 16
Butcher        : 16
pay            : 16
live           : 16
within         : 16
soul           : 16
coming         : 16
One            : 16
duty           : 16
care           : 16
women          : 15
kitchen        : 15
further        : 15
partly         : 15
observed       : 15
bank           : 15
drawing        : 15
themselves     : 15
Misses         : 15
sitting        : 15
self           : 15
wait           : 15
saying         : 15
minute         : 15
afterwards     : 15
words          : 15
Joe            : 15
saved          : 15
nearly         : 15
thoughts       : 15
keep           : 15
began          : 15
talk           : 15
soon           : 15
Orkid          : 15
during         : 15
Jesus          : 15
moved          : 15
yourself       : 15
doing          : 15
Chapel         : 15
goin           : 14
m              : 14
possible       : 14
stay           : 14
Ah             : 14
On             : 14
happened       : 14
wot            : 14
reading        : 14
returned       : 14
Christ         : 14
pocket         : 14
yes            : 14
happy          : 14
garden         : 14
mere           : 14
please         : 14
letter         : 14
suddenly       : 14
servant        : 14
different      : 14
others         : 14
past           : 14
dark           : 14
clear          : 14
account        : 14
dead           : 14
large          : 14
ten            : 13
Here           : 13
marm           : 13
lost           : 13
Bell           : 13
Is             : 13
outside        : 13
died           : 13
second         : 13
force          : 13
small          : 13
fact           : 13
rest           : 13
stopped        : 13
west           : 13
means          : 13
minutes        : 13
fell           : 13
Street         : 13
market         : 13
Milton         : 13
kept           : 13
comes          : 13
strength       : 13
bad            : 13
carried        : 13
struck         : 12
All            : 12
caught         : 12
remained       : 12
across         : 12
hardly         : 12
Perhaps        : 12
matters        : 12
Chandler       : 12
appeared       : 12
four           : 12
necessary      : 12
single         : 12
High           : 12
religion       : 12
answer         : 12
For            : 12
master         : 12
YOU            : 12
tothe          : 12
either         : 12
difficulty     : 12
street         : 12
front          : 12
married        : 12
society        : 12
inthe          : 12
easy           : 12
whose          : 12
knowing        : 12
along          : 12
ground         : 12
notwithstanding: 12
glad           : 12
chapel         : 12
Good           : 12
heart          : 12
position       : 12
body           : 12
arm            : 12
name           : 12
river          : 12
boy            : 12
sun            : 12
question       : 11
stand          : 11
common         : 11
By             : 11
pounds         : 11
MUST           : 11
white          : 11
piece          : 11
somebody       : 11
Arden          : 11
particularly   : 11
putting        : 11
reached        : 11
fall           : 11
perfect        : 11
ill            : 11
isn            : 11
real           : 11
worth          : 11
Had            : 11
Him            : 11
directly       : 11
following      : 11
spoke          : 11
less           : 11
builder        : 11
path           : 11
human          : 11
wicked         : 11
bedroom        : 11
music          : 11
whatever       : 11
trouble        : 11
complete       : 11
cold           : 11
none           : 11
note           : 11
slowly         : 11
Not            : 11
Rome           : 11
iron           : 11
since          : 11
fire           : 11
sorry          : 11
ago            : 11
until          : 11
cried          : 11
art            : 11
noticed        : 11
anxious        : 11
case           : 11
sky            : 11
table          : 11
Saturday       : 11
story          : 11
wished         : 11
bye            : 11
hair           : 11
hadbeen        : 10
mistress       : 10
third          : 10
quarter        : 10
dog            : 10
GUTENBERG      : 10
andthe         : 10
education      : 10
St             : 10
hung           : 10
Don            : 10
become         : 10
kissed         : 10
PROJECT        : 10
curious        : 10
creatures      : 10
whether        : 10
school         : 10
meet           : 10
breakfast      : 10
persons        : 10
miles          : 10
show           : 10
thinking       : 10
especially     : 10
plain          : 10
spoken         : 10
obtain         : 10
sense          : 10
twenty         : 10
received       : 10
proper         : 10
shillings      : 10
believed       : 10
coat           : 10
speaking       : 10
consider       : 10
hold           : 10
summer         : 10
return         : 10
Have           : 10
rector         : 10
reasons        : 10
sit            : 10
living         : 10
satisfied      : 10
chance         : 10
instantly      : 10
lovely         : 10
stone          : 10
children       : 10
sake           : 9
pupils         : 9
forgotten      : 9
states         : 9
bythe          : 9
mark           : 9
worn           : 9
clouds         : 9
grave          : 9
minister       : 9
ere            : 9
Of             : 9
black          : 9
TO             : 9
So             : 9
presented      : 9
faith          : 9
ad             : 9
familiar       : 9
won            : 9
wur            : 9
seem           : 9
continued      : 9
brain          : 9
purpose        : 9
thus           : 9
write          : 9
heaven         : 9
accident       : 9
Butterfield    : 9
late           : 9
early          : 9
having         : 9
Who            : 9
reply          : 9
religious      : 9
value          : 9
Paul           : 9
close          : 9
important      : 9
wasnot         : 9
offer          : 9
creditors      : 9
Nothing        : 9
parents        : 9
