the            : 4476
and            : 2622
of             : 2216
a              : 1689
to             : 1671
I              : 1237
in             : 1201
was            : 1059
that           : 900
it             : 769
is             : 740
on             : 704
for            : 539
with           : 510
he             : 488
had            : 473
The            : 447
we             : 438
at             : 372
not            : 367
one            : 362
as             : 353
were           : 342
by             : 337
all            : 327
be             : 324
his            : 315
from           : 308
my             : 287
And            : 238
Snark          : 235
It             : 228
have           : 226
s              : 224
me             : 224
you            : 224
out            : 215
but            : 212
there          : 211
are            : 203
or             : 202
up             : 202
they           : 202
no             : 195
But            : 190
which          : 185
He             : 178
them           : 174
time           : 171
him            : 169
our            : 169
down           : 166
us             : 165
would          : 165
sea            : 160
this           : 160
an             : 159
so             : 157
been           : 156
when           : 156
who            : 155
We             : 151
her            : 150
man            : 143
their          : 143
water          : 136
over           : 135
could          : 132
into           : 131
day            : 128
did            : 124
two            : 124
more           : 123
like           : 116
than           : 113
where          : 111
if             : 110
has            : 107
through        : 107
she            : 107
away           : 103
boat           : 102
There          : 101
way            : 101
other          : 101
while          : 100
In             : 99
about          : 99
any            : 99
will           : 97
along          : 94
only           : 92
men            : 92
sun            : 92
A              : 91
miles          : 90
do             : 89
upon           : 89
what           : 88
first          : 88
feet           : 88
off            : 87
came           : 87
Then           : 86
back           : 85
go             : 84
t              : 83
made           : 83
said           : 83
then           : 82
At             : 81
Charmian       : 81
can            : 81
went           : 80
When           : 78
never          : 78
fish           : 78
its            : 76
five           : 76
get            : 75
know           : 75
wind           : 74
board          : 74
before         : 73
after          : 72
three          : 72
am             : 70
land           : 70
too            : 68
They           : 67
much           : 67
some           : 67
see            : 66
long           : 65
such           : 64
hundred        : 64
life           : 64
days           : 64
every          : 63
ever           : 62
just           : 62
world          : 61
around         : 60
half           : 59
This           : 59
night          : 59
come           : 58
little         : 58
work           : 58
now            : 57
your           : 57
right          : 57
under          : 57
another        : 57
So             : 56
same           : 55
head           : 55
being          : 54
last           : 54
air            : 54
No             : 53
line           : 53
hands          : 53
good           : 52
small          : 52
course         : 52
canoe          : 52
got            : 51
well           : 51
may            : 51
very           : 51
make           : 50
fella          : 50
moment         : 49
still          : 48
thousand       : 46
found          : 46
how            : 46
degrees        : 46
side           : 46
twenty         : 46
years          : 46
morning        : 46
wave           : 45
west           : 45
must           : 45
If             : 44
mind           : 44
own            : 44
put            : 44
white          : 44
should         : 44
took           : 44
deck           : 44
four           : 43
Tehei          : 43
again          : 43
hand           : 43
All            : 42
longitude      : 42
On             : 42
Martin         : 42
Also           : 42
six            : 42
sailed         : 42
big            : 42
across         : 41
take           : 41
say            : 41
called         : 41
south          : 41
without        : 41
next           : 40
mile           : 40
most           : 40
caught         : 40
hours          : 40
shall          : 40
these          : 40
several        : 40
boy            : 40
To             : 39
nothing        : 39
between        : 39
anchor         : 39
m              : 38
fever          : 38
ll             : 38
place          : 38
going          : 37
end            : 37
far            : 37
done           : 37
great          : 37
yet            : 37
thought        : 37
eight          : 36
those          : 36
minutes        : 36
nor            : 36
even           : 36
saw            : 36
That           : 36
times          : 35
As             : 35
looked         : 35
matter         : 35
old            : 35
run            : 35
sail           : 35
Here           : 35
engine         : 35
ofthe          : 35
Roscoe         : 35
each           : 35
until          : 35
latitude       : 34
few            : 34
One            : 34
high           : 34
flying         : 34
deep           : 34
Captain        : 33
lepers         : 33
Now            : 33
knew           : 33
north          : 33
things         : 33
You            : 33
case           : 33
many           : 32
large          : 32
house          : 32
find           : 32
leper          : 31
Molokai        : 31
For            : 31
cabin          : 31
wheel          : 31
horse          : 31
voyage         : 31
reef           : 31
hour           : 31
bow            : 31
thing          : 30
native         : 30
does           : 30
though         : 30
crew           : 30
behind         : 30
She            : 30
began          : 30
surface        : 30
don            : 29
Mr             : 29
God            : 29
lay            : 29
young          : 29
clock          : 29
learned        : 29
east           : 29
Minota         : 29
trade          : 29
o              : 28
shore          : 28
trees          : 28
My             : 28
new            : 28
Project        : 28
ten            : 28
rain           : 28
face           : 28
rest           : 28
room           : 27
order          : 27
think          : 27
forty          : 27
disease        : 27
Honolulu       : 27
brought        : 27
What           : 27
above          : 27
light          : 27
ashore         : 27
always         : 27
island         : 27
here           : 27
point          : 27
weeks          : 27
because        : 27
itself         : 27
himself        : 26
His            : 26
once           : 26
legs           : 26
Not            : 26
started        : 26
beach          : 26
navigation     : 26
sailing        : 26
broke          : 26
surf           : 25
second         : 25
Haleakala      : 25
Man            : 25
live           : 25
also           : 25
eyes           : 25
might          : 25
however        : 25
inthe          : 25
horses         : 25
Wada           : 24
tried          : 24
Adam           : 24
want           : 24
let            : 24
whale          : 24
ocean          : 24
blood          : 24
straight       : 24
seen           : 24
something      : 24
myself         : 24
Hawaii         : 24
canoes         : 24
name           : 24
dead           : 24
women          : 23
woman          : 23
wanted         : 23
etext          : 23
power          : 23
dropped        : 23
against        : 23
turned         : 23
fishing        : 23
ahead          : 23
anything       : 23
bottom         : 23
fact           : 23
onthe          : 23
hold           : 23
cannot         : 23
speak          : 23
By             : 22
kai            : 22
wild           : 22
set            : 22
seven          : 22
look           : 22
why            : 22
past           : 22
used           : 22
trail          : 22
since          : 22
enough         : 22
else           : 21
squall         : 21
having         : 21
bushmen        : 21
Bora           : 21
sores          : 21
seconds        : 21
least          : 21
gave           : 21
belong         : 21
ready          : 21
rather         : 21
whole          : 21
chronometer    : 21
told           : 21
months         : 21
bit            : 21
M              : 20
d              : 20
coast          : 20
length         : 20
below          : 20
friends        : 20
left           : 20
quite          : 20
mine           : 20
theSnark       : 20
strong         : 20
struck         : 20
lost           : 20
word           : 20
rail           : 20
till           : 20
tiny           : 20
Nature         : 20
means          : 20
given          : 20
dozen          : 20
better         : 19
worked         : 19
Of             : 19
form           : 19
best           : 19
After          : 19
death          : 19
number         : 19
month          : 19
money          : 19
books          : 19
ran            : 19
boys           : 19
hard           : 19
top            : 19
THE            : 19
later          : 19
use            : 19
asked          : 19
rate           : 19
Solomons       : 19
fast           : 19
read           : 19
fifteen        : 19
captain        : 19
dollars        : 19
call           : 19
living         : 19
stone          : 19
became         : 18
Marquesas      : 18
quarter        : 18
eat            : 18
year           : 18
foot           : 18
week           : 18
met            : 18
cook           : 18
arrived        : 18
New            : 18
body           : 18
sat            : 18
leprosy        : 18
sky            : 18
table          : 18
salt           : 18
Solomon        : 18
built          : 18
green          : 18
held           : 18
chart          : 18
Bihaura        : 18
making         : 18
Ukiukiu        : 18
fell           : 18
Typee          : 18
Francisco      : 18
return         : 18
stood          : 18
beautiful      : 17
die            : 17
known          : 17
Gutenberg      : 17
pounds         : 17
walk           : 17
present        : 17
full           : 17
particular     : 17
sleep          : 17
kept           : 17
wide           : 17
pig            : 17
coming         : 17
Our            : 17
jungle         : 17
both           : 17
fresh          : 17
inches         : 17
sand           : 17
says           : 17
tell           : 17
San            : 17
grass          : 17
self           : 17
sent           : 17
CHAPTER        : 17
fellow         : 17
part           : 17
nearly         : 17
Hawaiian       : 17
riding         : 17
passed         : 17
heard          : 17
inside         : 17
