the            : 2819
and            : 2009
of             : 1764
to             : 1076
a              : 919
I              : 822
was            : 816
in             : 741
that           : 562
he             : 526
his            : 485
it             : 410
for            : 390
her            : 365
with           : 360
had            : 341
on             : 328
you            : 328
And            : 325
as             : 289
s              : 288
me             : 286
not            : 273
is             : 272
him            : 264
at             : 263
my             : 254
all            : 246
by             : 244
from           : 219
were           : 206
she            : 204
one            : 191
be             : 182
have           : 181
or             : 170
He             : 165
The            : 163
old            : 161
But            : 160
them           : 156
their          : 154
they           : 151
out            : 150
It             : 149
who            : 141
so             : 131
know           : 131
up             : 128
when           : 124
did            : 120
into           : 119
but            : 119
no             : 116
will           : 115
time           : 107
man            : 107
more           : 104
than           : 101
would          : 101
there          : 99
You            : 96
two            : 94
this           : 94
like           : 94
down           : 92
could          : 90
are            : 90
Ah             : 88
been           : 88
what           : 86
an             : 85
we             : 85
over           : 85
said           : 85
do             : 82
first          : 81
day            : 80
long           : 78
which          : 77
years          : 76
woman          : 73
She            : 73
our            : 73
your           : 73
back           : 71
knew           : 70
before         : 69
mother         : 69
way            : 67
if             : 65
other          : 65
t              : 64
only           : 64
never          : 62
half           : 61
made           : 61
us             : 61
ever           : 61
head           : 59
about          : 59
through        : 59
eyes           : 59
Hawaii         : 58
too            : 57
house          : 57
water          : 57
men            : 57
now            : 57
hand           : 56
under          : 55
while          : 55
In             : 54
then           : 54
must           : 54
much           : 53
bones          : 53
wife           : 53
Bella          : 52
upon           : 52
away           : 52
feet           : 52
We             : 51
very           : 51
father         : 51
any            : 51
hundred        : 50
has            : 50
Kim            : 49
great          : 48
night          : 48
days           : 48
even           : 48
after          : 46
many           : 46
its            : 46
Ahuna          : 45
shall          : 45
love           : 44
came           : 44
right          : 43
Pool           : 43
last           : 43
God            : 43
world          : 43
tell           : 42
himself        : 42
Barton         : 42
Martha         : 42
heart          : 42
go             : 40
three          : 40
Alice          : 40
see            : 40
There          : 39
face           : 39
should         : 39
Hawaiian       : 39
again          : 39
They           : 38
This           : 38
well           : 38
just           : 38
such           : 37
That           : 36
Prince         : 36
year           : 36
own            : 36
make           : 35
So             : 35
Yo             : 35
am             : 35
young          : 35
For            : 35
told           : 35
off            : 35
dead           : 35
can            : 35
Uncle          : 34
side           : 34
high           : 34
dollars        : 34
life           : 34
say            : 34
A              : 33
being          : 33
beach          : 33
come           : 33
five           : 33
sea            : 33
good           : 32
across         : 32
white          : 32
surf           : 32
get            : 32
things         : 32
those          : 32
went           : 32
nor            : 32
until          : 32
where          : 32
little         : 32
Abel           : 31
Li             : 31
twenty         : 31
Lee            : 31
thought        : 31
women          : 30
ofthe          : 30
No             : 30
Faa            : 30
how            : 30
canoe          : 30
When           : 30
may            : 30
fish           : 30
always         : 30
gone           : 29
remember       : 29
end            : 29
John           : 29
Kanaka         : 29
What           : 29
each           : 29
Kahekili       : 29
Mrs            : 29
saw            : 29
hair           : 29
another        : 28
next           : 28
here           : 28
Ida            : 28
Kumuhana       : 28
around         : 28
Project        : 28
sun            : 28
At             : 27
without        : 27
got            : 27
yet            : 27
haole          : 27
looked         : 27
His            : 27
let            : 27
still          : 27
because        : 27
George         : 27
alii           : 27
sand           : 26
far            : 26
arms           : 26
Oolea          : 26
alone          : 26
heard          : 26
Sonny          : 26
big            : 26
thing          : 25
land           : 25
nothing        : 25
Hardman        : 25
place          : 25
husband        : 25
lips           : 25
some           : 25
living         : 25
horse          : 25
If             : 24
My             : 24
died           : 24
etext          : 24
death          : 24
ones           : 24
between        : 24
Lilolilo       : 24
O              : 23
hard           : 23
four           : 23
seen           : 23
almost         : 23
lava           : 23
myself         : 23
tongue         : 23
born           : 23
most           : 23
herself        : 23
same           : 22
thousand       : 22
hands          : 22
grey           : 22
second         : 22
though         : 22
Not            : 22
soul           : 22
every          : 22
chiefs         : 22
Maui           : 22
both           : 22
save           : 21
ere            : 21
might          : 21
gave           : 21
Honolulu       : 21
Yet            : 21
Waikiki        : 21
body           : 21
king           : 21
ten            : 20
think          : 20
To             : 20
small          : 20
Anapuni        : 20
Never          : 20
left           : 20
less           : 20
Nahala         : 20
new            : 20
Also           : 20
since          : 20
age            : 20
Chinese        : 20
Then           : 19
work           : 19
secret         : 19
often          : 19
asked          : 19
shark          : 19
why            : 19
want           : 19
give           : 19
Now            : 19
put            : 19
talk           : 19
home           : 19
cried          : 19
nodded         : 19
bed            : 19
six            : 19
son            : 19
better         : 18
All            : 18
times          : 18
Oh             : 18
didn           : 18
gin            : 18
god            : 18
Why            : 18
drink          : 18
sharks         : 18
take           : 18
bottom         : 18
beside         : 18
behind         : 18
moment         : 17
known          : 17
word           : 17
swimming       : 17
forty          : 17
Gutenberg      : 17
foot           : 17
ll             : 17
wave           : 17
century        : 17
married        : 17
once           : 17
thirty         : 17
full           : 17
Akuli          : 17
month          : 17
above          : 17
took           : 17
live           : 17
began          : 17
within         : 17
squid          : 17
sat            : 17
strong         : 17
room           : 16
die            : 16
themselves     : 16
ear            : 16
black          : 16
sugar          : 16
continued      : 16
eight          : 16
brought        : 16
kow            : 16
fifty          : 16
legs           : 16
inthe          : 16
done           : 16
lived          : 16
line           : 16
these          : 16
wind           : 16
return         : 16
One            : 16
broke          : 16
deep           : 16
morning        : 16
d              : 15
don            : 15
look           : 15
As             : 15
Of             : 15
fat            : 15
form           : 15
dream          : 15
re             : 15
Water          : 15
till           : 15
school         : 15
beat           : 15
Kilohana       : 15
broken         : 15
mind           : 15
believe        : 15
among          : 15
wild           : 15
wise           : 15
hour           : 15
air            : 15
bone           : 15
enough         : 15
beauty         : 15
singing        : 14
ve             : 14
beyond         : 14
Lucy           : 14
Hilo           : 14
hot            : 14
although       : 14
loved          : 14
floor          : 14
whose          : 14
Chang          : 14
skin           : 14
fell           : 14
along          : 14
Lakanaii       : 14
seemed         : 14
ancient        : 14
chief          : 14
