the       : 1289
of        : 1004
and       : 702
to        : 592
in        : 572
a         : 449
that      : 300
it        : 295
is        : 261
I         : 223
be        : 184
for       : 181
with      : 175
as        : 165
was       : 164
his       : 163
or        : 160
have      : 145
this      : 144
by        : 137
not       : 130
on        : 129
which     : 127
he        : 124
at        : 122
her       : 100
s         : 96
are       : 95
but       : 92
an        : 91
all       : 88
one       : 87
had       : 83
were      : 83
who       : 81
they      : 81
from      : 81
been      : 80
you       : 77
The       : 73
there     : 73
when      : 71
its       : 69
so        : 66
Mr        : 63
she       : 58
no        : 57
them      : 57
him       : 57
any       : 57
has       : 56
will      : 55
such      : 54
very      : 54
may       : 53
their     : 53
It        : 51
some      : 51
than      : 50
we        : 49
would     : 46
my        : 45
these     : 43
me        : 42
more      : 42
if        : 41
last      : 41
great     : 40
up        : 40
upon      : 40
But       : 39
could     : 39
man       : 38
other     : 38
being     : 36
In        : 36
time      : 35
first     : 35
into      : 35
years     : 35
do        : 34
those     : 34
out       : 34
two       : 33
only      : 32
about     : 32
our       : 32
never     : 31
There     : 30
We        : 30
death     : 30
men       : 30
same      : 29
murder    : 29
before    : 29
what      : 29
most      : 29
can       : 29
know      : 28
life      : 28
sir       : 28
should    : 27
now       : 27
And       : 26
made      : 26
law       : 26
executions: 26
etext     : 25
like      : 25
your      : 25
own       : 24
Project   : 24
said      : 24
If        : 23
might     : 23
must      : 23
through   : 23
interest  : 22
number    : 22
say       : 22
crime     : 21
London    : 21
part      : 21
little    : 21
punishment: 21
too       : 20
long      : 20
many      : 20
He        : 20
another   : 20
found     : 20
how       : 20
Punishment: 20
public    : 20
where     : 20
way       : 19
am        : 19
without   : 19
Death     : 19
Hood      : 19
ever      : 19
over      : 19
after     : 18
question  : 18
persons   : 18
mind      : 18
certain   : 18
day       : 17
having    : 17
well      : 17
whole     : 17
among     : 17
even      : 17
case      : 17
good      : 16
us        : 16
down      : 16
because   : 16
old       : 16
cases     : 16
people    : 16
subject   : 15
shall     : 15
go        : 15
seen      : 15
young     : 15
whom      : 15
general   : 15
take      : 15
A         : 14
t         : 14
That      : 14
think     : 14
Gutenberg : 14
So        : 14
then      : 14
get       : 14
Fechter   : 14
less      : 14
judge     : 14
come      : 14
crimes    : 14
cannot    : 14
nature    : 14
hand      : 13
room      : 13
This      : 13
under     : 13
work      : 13
effect    : 13
here      : 13
nothing   : 13
Miss      : 13
between   : 13
quite     : 13
three     : 13
new       : 13
within    : 13
find      : 13
every     : 13
thought   : 13
name      : 13
going     : 12
known     : 12
ofthe     : 12
To        : 12
few       : 12
form      : 12
hanged    : 12
England   : 12
much      : 12
yet       : 12
House     : 12
each      : 12
means     : 12
against   : 12
English   : 12
reference : 12
always    : 12
bad       : 12
see       : 12
children  : 12
better    : 11
did       : 11
make      : 11
Is        : 11
himself   : 11
power     : 11
purpose   : 11
things    : 11
read      : 11
You       : 11
When      : 11
human     : 11
murders   : 11
class     : 11
wish      : 11
father    : 11
already   : 11
kind      : 11
Ragged    : 11
Hocker    : 11
times     : 10
state     : 10
They      : 10
Thus      : 10
year      : 10
end       : 10
head      : 10
course    : 10
letter    : 10
taken     : 10
world     : 10
Capital   : 10
place     : 10
example   : 10
making    : 10
went      : 10
night     : 10
does      : 10
away      : 10
though    : 10
give      : 10
off       : 10
Thomas    : 10
country   : 10
note      : 10
child     : 10
put       : 10
true      : 10
execution : 10
itself    : 10
friend    : 10
idea      : 10
blood     : 9
readers   : 9
house     : 9
evidence  : 9
perhaps   : 9
executed  : 9
remarkable: 9
criminal  : 9
school    : 9
mere      : 9
agricultural: 9
reason    : 9
words     : 9
different : 9
following : 9
object    : 9
inthe     : 9
done      : 9
whose     : 9
took      : 9
bride     : 9
wild      : 9
return    : 9
heard     : 9
writer    : 9
five      : 9
Lord      : 9
saw       : 9
All       : 8
She       : 8
murdered  : 8
word      : 8
love      : 8
hands     : 8
immediately: 8
OR        : 8
TO        : 8
far       : 8
held      : 8
hundred   : 8
late      : 8
Why       : 8
present   : 8
respect   : 8
His       : 8
person    : 8
capital   : 8
ofhis     : 8
