the       : 863
I         : 600
of        : 579
to        : 538
and       : 441
a         : 404
is        : 325
that      : 314
in        : 308
it        : 238
have      : 221
you       : 221
are       : 207
they      : 176
for       : 163
as        : 151
t         : 143
be        : 133
me        : 132
one       : 125
at        : 123
but       : 122
not       : 120
with      : 114
no        : 111
my        : 110
on        : 106
The       : 102
s         : 97
this      : 95
we        : 94
he        : 93
very      : 87
all       : 87
she       : 82
so        : 80
by        : 79
which     : 79
an        : 68
there     : 67
about     : 66
It        : 66
was       : 66
will      : 65
or        : 62
here      : 62
has       : 62
am        : 60
little    : 60
if        : 59
know      : 59
her       : 59
people    : 57
what      : 56
them      : 55
don       : 53
from      : 53
more      : 52
had       : 50
your      : 46
Mr        : 45
than      : 45
been      : 45
should    : 45
only      : 45
You       : 44
say       : 42
think     : 41
see       : 41
would     : 40
who       : 40
over      : 40
can       : 40
our       : 39
good      : 38
We        : 38
great     : 38
may       : 37
any       : 37
Europe    : 37
when      : 35
country   : 35
up        : 35
young     : 35
They      : 34
There     : 34
like      : 34
do        : 33
other     : 33
mamma     : 32
their     : 32
much      : 31
things    : 31
these     : 30
always    : 30
most      : 30
though    : 29
him       : 29
many      : 28
If        : 28
us        : 28
etext     : 28
course    : 28
too       : 27
were      : 27
time      : 27
his       : 27
however   : 27
make      : 26
But       : 26
He        : 26
come      : 26
out       : 26
Project   : 26
made      : 25
shall     : 25
way       : 25
life      : 25
even      : 25
American  : 25
some      : 25
mean      : 24
nothing   : 24
least     : 23
tell      : 22
get       : 22
where     : 22
less      : 21
She       : 21
go        : 21
after     : 20
In        : 20
how       : 20
well      : 19
day       : 19
myself    : 19
give      : 19
must      : 19
every     : 19
This      : 18
back      : 18
being     : 18
Gutenberg : 18
long      : 17
such      : 17
whom      : 17
girls     : 17
never     : 17
says      : 16
down      : 16
Cockerel  : 16
whole     : 16
because   : 16
without   : 16
want      : 16
take      : 16
find      : 16
world     : 16
same      : 15
better    : 15
two       : 15
rather    : 15
men       : 15
seen      : 15
seem      : 15
seems     : 14
Leverett  : 14
TO        : 14
now       : 14
sure      : 14
extremely : 14
then      : 14
last      : 14
yet       : 14
indeed    : 14
first     : 14
America   : 14
everything: 14
When      : 14
said      : 14
room      : 13
three     : 13
My        : 13
perhaps   : 13
form      : 13
pretty    : 13
own       : 13
got       : 13
talk      : 13
thought   : 13
deal      : 13
hand      : 12
husband   : 12
look      : 12
As        : 12
doesn     : 12
often     : 12
haven     : 12
Of        : 12
else      : 12
wish      : 12
just      : 12
simply    : 12
person    : 12
M         : 11
women     : 11
question  : 11
thing     : 11
while     : 11
days      : 11
lady      : 11
English   : 11
light     : 11
isn       : 11
years     : 11
call      : 11
those     : 11
enough    : 11
dear      : 11
makes     : 11
children  : 11
place     : 11
goes      : 11
A         : 10
society   : 10
quite     : 10
each      : 10
means     : 10
believe   : 10
into      : 10
silence   : 10
end       : 10
told      : 10
far       : 10
few       : 10
de        : 10
marry     : 10
fact      : 10
again     : 10
French    : 10
air       : 10
care      : 10
saw       : 10
big       : 10
information: 9
moment    : 9
right     : 9
use       : 9
word      : 9
need      : 9
IN        : 9
No        : 9
might     : 9
ladies    : 9
didn      : 9
won       : 9
hundred   : 9
anything  : 9
having    : 9
Mamma     : 9
return    : 9
true      : 9
present   : 9
hour      : 9
YOU       : 9
ago       : 9
through   : 9
also      : 9
idea      : 9
gentlemen : 9
hard      : 8
went      : 8
away      : 8
house     : 8
month     : 8
feel      : 8
still     : 8
books     : 8
called    : 8
charming  : 8
asked     : 8
ofthe     : 8
OF        : 8
OR        : 8
Antrobus  : 8
girl      : 8
used      : 8
States    : 8
old       : 8
none      : 8
England   : 8
arrived   : 8
speaks    : 8
child     : 8
understand: 8
ever      : 8
general   : 8
Idon      : 8
home      : 8
together  : 8
West      : 8
Madame    : 8
afraid    : 8
poor      : 8
its       : 8
system    : 8
came      : 8
rest      : 8
sea       : 8
several   : 8
social    : 8
Etexts    : 8
fifty     : 7
order     : 7
woman     : 7
upon      : 7
That      : 7
let       : 7
hours     : 7
possible  : 7
letters   : 7
knows     : 7
love      : 7
GUTENBERG : 7
tone      : 7
Aurora    : 7
houses    : 7
certain   : 7
keep      : 7
familiar  : 7
class     : 7
off       : 7
ll        : 7
Paris     : 7
evidently : 7
PROJECT   : 7
FROM      : 7
strange   : 7
New       : 7
almost    : 7
liberty   : 7
given     : 7
put       : 7
small     : 7
comes     : 7
sometimes : 7
appears   : 7
heard     : 7
ought     : 7
speak     : 7
future    : 7
shouldn   : 7
book      : 7
case      : 7
daughter  : 7
deck      : 7
sit       : 7
dinner    : 7
large     : 7
dreadful  : 7
herself   : 7
half      : 6
Small     : 6
serious   : 6
others    : 6
thousand  : 6
law       : 6
night     : 6
probably  : 6
These     : 6
manners   : 6
done      : 6
hotel     : 6
sense     : 6
feet      : 6
Print     : 6
work      : 6
writing   : 6
At        : 6
new       : 6
another   : 6
To        : 6
alone     : 6
looking   : 6
brother   : 6
language  : 6
seemed    : 6
places    : 6
suppose   : 6
type      : 6
conversation: 6
enormous  : 6
write     : 6
impressions: 6
whether   : 6
till      : 6
desire    : 6
before    : 6
point     : 6
tells     : 6
answer    : 6
questions : 6
train     : 6
passes    : 6
Henry     : 6
something : 6
One       : 6
face      : 6
five      : 6
round     : 6
number    : 6
already   : 6
taste     : 6
takes     : 6
arrive    : 6
eyes      : 6
change    : 6
South     : 6
married   : 6
What      : 6
really    : 6
ten       : 5
m         : 5
Lejaune   : 5
spirit    : 5
Point     : 5
Then      : 5
does      : 5
chere     : 5
particular: 5
water     : 5
ease      : 5
York      : 5
going     : 5
easy      : 5
THE       : 5
October   : 5
twenty    : 5
terribly  : 5
remember  : 5
