the       : 1852
a         : 1300
of        : 1135
and       : 1040
s         : 882
to        : 856
is        : 551
in        : 506
I         : 390
for       : 338
or        : 325
that      : 306
it        : 280
Gypsy     : 270
you       : 259
with      : 256
which     : 253
was       : 235
he        : 228
by        : 223
A         : 220
her       : 207
as        : 204
she       : 201
not       : 191
The       : 190
are       : 189
be        : 188
d         : 177
Sans      : 173
but       : 168
they      : 162
To        : 159
his       : 158
have      : 153
on        : 149
one       : 148
from      : 146
at        : 141
See       : 127
v         : 125
said      : 123
who       : 120
my        : 115
me        : 114
had       : 110
no        : 109
Gypsies   : 109
so        : 108
Wal       : 107
word      : 102
them      : 100
their     : 99
Romany    : 97
Gyp       : 96
all       : 96
has       : 93
there     : 91
name      : 90
English   : 84
little    : 82
much      : 81
about     : 81
your      : 80
old       : 78
been      : 77
were      : 76
will      : 76
And       : 75
some      : 74
him       : 73
may       : 73
Span      : 72
than      : 71
would     : 70
He        : 69
if        : 69
two       : 68
what      : 68
up        : 67
other     : 67
more      : 67
an        : 66
man       : 64
this      : 63
though    : 63
do        : 62
ta        : 61
like      : 59
It        : 55
can       : 55
mande     : 54
pl        : 54
see       : 54
very      : 53
people    : 52
mengro    : 51
They      : 50
go        : 50
engro     : 50
drey      : 50
say       : 50
thing     : 49
when      : 49
tute      : 48
ad        : 48
any       : 48
She       : 47
great     : 47
then      : 47
time      : 46
Greek     : 46
Hun       : 46
part      : 46
woman     : 45
called    : 45
we        : 45
day       : 44
town      : 44
country   : 44
used      : 43
tem       : 42
Hin       : 42
whom      : 42
language  : 41
well      : 41
good      : 40
did       : 40
Gr        : 40
place     : 40
into      : 40
Rus       : 39
being     : 39
words     : 39
down      : 39
Mod       : 39
here      : 38
out       : 38
must      : 37
men       : 37
t         : 36
fellow    : 36
however   : 35
kek       : 35
Lit       : 35
far       : 34
ll        : 34
oprey     : 34
those     : 34
kair      : 34
only      : 34
But       : 33
three     : 33
these     : 33
Project   : 33
after     : 32
This      : 32
made      : 32
In        : 32
am        : 32
know      : 32
sore      : 32
There     : 31
si        : 31
could     : 31
Irish     : 31
horse     : 31
hand      : 30
house     : 30
THE       : 30
make      : 30
shall     : 30
never     : 30
When      : 30
years     : 30
same      : 29
leste     : 29
should    : 29
Pers      : 29
