the       : 636
a         : 582
and       : 421
of        : 388
I         : 367
to        : 334
And       : 265
you       : 256
s         : 245
in        : 216
is        : 203
The       : 152
that      : 143
all       : 132
with      : 129
be        : 123
it        : 123
his       : 123
he        : 121
for       : 119
as        : 112
your      : 103
they      : 87
Ballad    : 86
or        : 85
can       : 77
not       : 76
on        : 76
her       : 75
may       : 74
my        : 73
me        : 71
no        : 70
one       : 70
t         : 69
this      : 67
we        : 66
at        : 65
If        : 64
are       : 64
But       : 63
ve        : 63
When      : 62
by        : 60
if        : 57
In        : 56
was       : 56
He        : 54
It        : 52
ll        : 52
very      : 51
so        : 51
but       : 51
m         : 49
will      : 49
little    : 49
A         : 48
who       : 48
For       : 48
do        : 47
re        : 46
their     : 46
You       : 46
love      : 45
every     : 45
from      : 45
should    : 44
To        : 43
an        : 43
our       : 43
Then      : 42
she       : 39
have      : 38
That      : 37
when      : 37
O         : 36
day       : 36
up        : 36
As        : 35
d         : 34
They      : 34
Though    : 34
him       : 32
We        : 31
never     : 31
Which     : 31
Who       : 30
Or        : 29
any       : 29
All       : 28
such      : 28
must      : 28
too       : 27
man       : 27
Oh        : 27
ho        : 27
has       : 27
buzz      : 27
heart     : 27
good      : 26
well      : 26
tell      : 26
His       : 26
would     : 25
With      : 25
Of        : 25
what      : 25
know      : 24
Project   : 24
its       : 24
said      : 24
make      : 23
etext     : 23
like      : 23
Hey       : 23
were      : 22
great     : 22
them      : 22
other     : 22
kind      : 22
willow    : 21
She       : 21
say       : 21
thy       : 20
two       : 20
go        : 20
out       : 20
young     : 20
there     : 20
been      : 20
take      : 20
only      : 20
This      : 19
down      : 19
which     : 19
come      : 19
get       : 19
Fal       : 19
song      : 19
see       : 19
world     : 19
think     : 18
Queen     : 18
maid      : 18
My        : 18
So        : 18
titwillow : 18
la        : 18
days      : 18
ever      : 18
time      : 18
eyes      : 18
doubt     : 17
made      : 17
don       : 17
em        : 17
then      : 17
tree      : 17
Said      : 17
What      : 17
myself    : 16
long      : 16
Is        : 16
No        : 16
am        : 16
pretty    : 16
us        : 16
these     : 16
over      : 16
maiden    : 16
about     : 15
From      : 15
life      : 15
had       : 15
some      : 15
best      : 15
cannot    : 15
first     : 15
nothing   : 15
upon      : 14
each      : 14
free      : 14
face      : 14
Yet       : 14
Her       : 14
goes      : 14
While     : 14
gold      : 13
SHE       : 13
mind      : 13
Ah        : 13
At        : 13
rich      : 13
HE        : 13
Gutenberg : 13
ha        : 13
off       : 13
got       : 13
English   : 13
more      : 13
S         : 12
quite     : 12
night     : 12
away      : 12
merry     : 12
rather    : 12
into      : 12
Time      : 12
shall     : 12
bride     : 12
Duke      : 12
old       : 12
ye        : 12
own       : 12
youth     : 12
waly      : 12
Why       : 12
find      : 12
always    : 12
missed    : 12
sing      : 12
D         : 11
loves     : 11
lal       : 11
short     : 11
possible  : 11
Take      : 11
might     : 11
whatever  : 11
give      : 11
why       : 11
alone     : 11
sure      : 11
form      : 11
head      : 11
much      : 11
put       : 11
people    : 11
boy       : 11
There     : 10
men       : 10
By        : 10
himself   : 10
now       : 10
wrong     : 10
fit       : 10
er        : 10
everybody : 10
England   : 10
lady      : 10
sighed    : 10
just      : 10
could     : 10
soul      : 10
YOU       : 10
poor      : 10
born      : 10
most      : 10
sad       : 10
kiss      : 10
How       : 10
set       : 10
joke      : 10
high      : 10
ready     : 10
ten       : 9
hand      : 9
better    : 9
let       : 9
Life      : 9
lot       : 9
right     : 9
though    : 9
look      : 9
Buzz      : 9
plan      : 9
perhaps   : 9
oak       : 9
than      : 9
Please    : 9
ladye     : 9
none      : 9
King      : 9
pay       : 9
marry     : 9
Sing      : 9
things    : 9
Now       : 9
happy     : 9
fair      : 9
fall      : 9
through   : 9
joy       : 9
highly    : 9
sup       : 9
Small     : 8
bright    : 8
THE       : 8
Heavy     : 8
money     : 8
Every     : 8
swarm     : 8
Be        : 8
Go        : 8
new       : 8
OF        : 8
OR        : 8
Let       : 8
another   : 8
search    : 8
cold      : 8
Plaza     : 8
Would     : 8
craved    : 8
soon      : 8
Were      : 8
true      : 8
Each      : 8
rule      : 8
isn       : 8
care      : 8
morning   : 8
really    : 8
half      : 7
loved     : 7
matter    : 7
pray      : 7
Major     : 7
Ape       : 7
does      : 7
humour    : 7
paid      : 7
done      : 7
whose     : 7
Blue      : 7
die       : 7
crime     : 7
knows     : 7
use       : 7
sorrow    : 7
glance    : 7
many      : 7
First     : 7
work      : 7
word      : 7
sipped    : 7
An        : 7
crumb     : 7
need      : 7
GUTENBERG : 7
On        : 7
eye       : 7
TO        : 7
flame     : 7
ladies    : 7
rank      : 7
observe   : 7
won       : 7
tears     : 7
May       : 7
attorney  : 7
PROJECT   : 7
beyond    : 7
without   : 7
list      : 7
land      : 7
want      : 7
last      : 7
Was       : 7
House     : 7
small     : 7
mean      : 7
innocent  : 7
Well      : 7
although  : 7
maids     : 7
again     : 7
Our       : 7
round     : 7
Winter    : 7
thought   : 7
Spring    : 7
call      : 7
show      : 7
penny     : 7
Love      : 7
offer     : 7
dead      : 7
brought   : 7
merriment : 7
once      : 7
British   : 7
hair      : 7
turn      : 6
W         : 6
blood     : 6
making    : 6
says      : 6
fellow    : 6
Parley    : 6
did       : 6
Mounseer  : 6
month     : 6
sense     : 6
feel      : 6
vegetable : 6
tongue    : 6
year      : 6
Do        : 6
Little    : 6
voo       : 6
took      : 6
haven     : 6
girl      : 6
way       : 6
modest    : 6
far       : 6
modern    : 6
matters   : 6
whom      : 6
girls     : 6
Navee     : 6
class     : 6
Man       : 6
flower    : 6
roses     : 6
dress     : 6
here      : 6
thus      : 6
lips      : 6
million   : 6
found     : 6
till      : 6
yet       : 6
home      : 6
breeze    : 6
Whose     : 6
please    : 6
came      : 6
Put       : 6
duty      : 6
rest      : 6
deep      : 6
Majesty   : 6
punishment: 6
sigh      : 6
pleasure  : 6
Toro      : 6
Etexts    : 6
plain     : 6
left      : 5
information: 5
lover     : 5
intellectual: 5
lay       : 5
try       : 5
beautiful : 5
probable  : 5
tear      : 5
thing     : 5
source    : 5
These     : 5
low       : 5
door      : 5
particular: 5
dong      : 5
letters   : 5
etexts    : 5
stand     : 5
Must      : 5
Print     : 5
fell      : 5
themselves: 5
Willow    : 5
music     : 5
doesn     : 5
private   : 5
copyright : 5
tried     : 5
Whatever  : 5
shame     : 5
statement : 5
lived     : 5
used      : 5
Autumn    : 5
keep      : 5
downcast  : 5
trouble   : 5
else      : 5
clever    : 5
thee      : 5
country   : 5
pure      : 5
course    : 5
copy      : 5
brain     : 5
nose      : 5
humble    : 5
wish      : 5
FOR       : 5
pocket    : 5
Should    : 5
funny     : 5
merryman  : 5
anything  : 5
light     : 5
before    : 5
hit       : 5
square    : 5
National  : 5
hot       : 5
file      : 5
pleasant  : 5
hour      : 5
something : 5
fact      : 5
fade      : 5
ought     : 5
uniform   : 5
bosom     : 5
endeavour : 5
trade     : 5
French    : 5
morrow    : 5
age       : 5
read      : 5
expense   : 5
Fairy     : 5
taste     : 5
mother    : 5
name      : 5
moon      : 5
scheme    : 5
sea       : 5
Ruler     : 5
bee       : 5
however   : 5
sit       : 5
bit       : 5
side      : 5
nature    : 5
figure    : 5
sight     : 5
hive      : 5
place     : 5
Summer    : 5
person    : 5
Mellon    : 4
temper    : 4
eleven    : 4
E         : 4
after     : 4
o         : 4
readers   : 4
went      : 4
Ding      : 4
cheap     : 4
rose      : 4
became    : 4
floor     : 4
Are       : 4
distribute: 4
fashion   : 4
glass     : 4
house     : 4
hours     : 4
start     : 4
pale      : 4
Magnet    : 4
celebrated: 4
going     : 4
under     : 4
bird      : 4
legal     : 4
University: 4
