the       : 2218
and       : 1654
of        : 1302
to        : 1301
I         : 979
in        : 852
a         : 741
that      : 730
is        : 448
not       : 399
was       : 395
it        : 382
with      : 332
had       : 327
this      : 323
for       : 314
me        : 292
which     : 291
he        : 278
as        : 275
but       : 264
on        : 260
people    : 248
my        : 244
all       : 235
who       : 233
by        : 223
from      : 214
one       : 211
them      : 205
man       : 200
his       : 199
they      : 197
at        : 180
were      : 180
be        : 179
The       : 176
there     : 176
have      : 175
or        : 168
are       : 164
money     : 150
their     : 143
him       : 140
we        : 139
her       : 126
do        : 124
you       : 123
And       : 120
so        : 119
no        : 111
been      : 103
these     : 103
only      : 101
But       : 100
life      : 100
house     : 98
an        : 97
she       : 96
has       : 95
old       : 94
what      : 93
any       : 91
poor      : 89
our       : 89
thing     : 86
did       : 86
out       : 84
when      : 83
s         : 82
very      : 82
woman     : 81
more      : 81
same      : 80
some      : 79
said      : 76
because   : 75
every     : 75
will      : 73
such      : 71
us        : 71
those     : 70
into      : 70
work      : 69
then      : 69
whom      : 69
labor     : 68
if        : 68
He        : 67
would     : 67
about     : 67
other     : 67
In        : 66
could     : 66
up        : 65
give      : 63
two       : 61
It        : 61
can       : 60
others    : 59
see       : 59
women     : 58
may       : 58
country   : 58
This      : 56
day       : 55
should    : 55
good      : 54
how       : 54
also      : 52
must      : 51
time      : 51
first     : 50
city      : 50
men       : 50
myself    : 48
order     : 46
made      : 46
than      : 46
without   : 46
went      : 46
himself   : 45
live      : 45
began     : 45
say       : 45
children  : 45
here      : 44
nothing   : 44
come      : 44
own       : 44
many      : 43
What      : 43
place     : 43
where     : 42
They      : 41
She       : 41
themselves: 41
If        : 41
We        : 41
like      : 40
over      : 40
night     : 39
rich      : 39
Moscow    : 39
make      : 38
help      : 38
means     : 38
take      : 38
down      : 37
came      : 37
long      : 36
go        : 36
its       : 36
toil      : 36
now       : 36
even      : 36
get       : 35
little    : 35
way       : 34
something : 34
away      : 34
A         : 33
might     : 33
gave      : 33
know      : 33
peasant   : 33
whole     : 33
among     : 33
three     : 32
felt      : 32
asked     : 31
shall     : 31
your      : 31
before    : 30
still     : 30
rubles    : 30
etext     : 29
always    : 29
through   : 29
both      : 29
There     : 28
possible  : 28
hands     : 28
matter    : 28
twenty    : 28
persons   : 27
Project   : 27
poverty   : 27
eat       : 26
great     : 26
entered   : 26
done      : 26
saw       : 26
after     : 25
As        : 25
another   : 25
understood: 25
seemed    : 25
again     : 25
cannot    : 25
years     : 25
edition   : 25
most      : 25
All       : 24
On        : 24
much      : 24
young     : 24
just      : 24
doing     : 24
ten       : 23
right     : 23
Gutenberg : 23
while     : 23
lodging   : 23
kopeks    : 23
words     : 23
well      : 23
manner    : 23
already   : 23
impossible: 22
bread     : 22
wealth    : 22
though    : 22
evidently : 22
cook      : 22
given     : 22
thought   : 22
thousand  : 21
being     : 21
seen      : 21
necessary : 21
understand: 21
authorized: 21
does      : 21
told      : 21
houses    : 21
nor       : 21
lived     : 21
position  : 21
therefore : 21
hand      : 20
year      : 20
am        : 20
course    : 20
things    : 20
small     : 20
CHAPTER   : 20
left      : 20
whose     : 20
took      : 20
along     : 20
wish      : 20
violence  : 20
sort      : 20
case      : 20
room      : 19
Rzhanoff  : 19
third     : 19
business  : 19
shame     : 19
food      : 19
become    : 19
Why       : 19
laundress : 19
upon      : 19
each      : 19
ruble     : 19
new       : 19
wife      : 19
set       : 19
quarters  : 18
going     : 18
hundred   : 18
point     : 18
answer    : 18
inthe     : 18
census    : 18
lives     : 18
turned    : 18
cold      : 18
Omitted   : 18
itself    : 18
eyes      : 18
question  : 17
use       : 17
At        : 17
thus      : 17
want      : 17
fact      : 17
clock     : 17
drink     : 17
world     : 17
When      : 17
full      : 17
Lyapinsky : 17
cause     : 17
five      : 17
times     : 16
under     : 16
often     : 16
why       : 16
form      : 16
second    : 16
luxury    : 16
whether   : 16
beggars   : 16
peasants  : 16
slavery   : 16
taken     : 16
street    : 16
between   : 16
person    : 16
part      : 16
off       : 16
coat      : 16
evil      : 16
desire    : 16
tavern    : 16
o         : 15
too       : 15
shoes     : 15
precisely : 15
No        : 15
knew      : 15
found     : 15
last      : 15
awkward   : 15
number    : 15
once      : 15
received  : 15
put       : 15
until     : 15
simple    : 15
lost      : 14
end       : 14
called    : 14
My        : 14
To        : 14
never     : 14
else      : 14
Censor    : 14
having    : 14
For       : 14
present   : 14
making    : 14
hungry    : 14
girl      : 14
alone     : 14
round     : 14
ask       : 14
several   : 14
natural   : 14
really    : 14
half      : 13
taking    : 13
state     : 13
Here      : 13
need      : 13
forth     : 13
ofthe     : 13
wanted    : 13
dressed   : 13
ill       : 13
tothe     : 13
object    : 13
