the       : 5745
and       : 4589
of        : 3795
a         : 2940
to        : 1906
in        : 1783
with      : 1250
I         : 1241
is        : 1205
which     : 862
on        : 829
are       : 817
was       : 789
as        : 758
for       : 751
The       : 751
it        : 706
by        : 691
that      : 691
but       : 548
at        : 544
were      : 492
or        : 469
their     : 455
they      : 442
from      : 436
not       : 421
one       : 396
my        : 388
have      : 386
all       : 385
me        : 372
an        : 338
very      : 338
he        : 332
them      : 326
his       : 314
had       : 307
this      : 306
be        : 286
s         : 273
there     : 264
two       : 257
has       : 240
so        : 237
up        : 237
Japanese  : 234
into      : 231
its       : 216
much      : 213
A         : 208
who       : 196
some      : 195
we        : 188
over      : 186
It        : 185
when      : 180
only      : 179
out       : 177
been      : 175
house     : 175
men       : 173
feet      : 170
like      : 166
people    : 159
Ito       : 158
most      : 157
than      : 156
day       : 155
They      : 155
you       : 154
about     : 152
down      : 151
great     : 150
no        : 149
more      : 149
through   : 146
being     : 145
her       : 143
three     : 141
upon      : 137
long      : 133
other     : 133
if        : 131
houses    : 131
any       : 131
many      : 123
made      : 121
after     : 119
man       : 118
these     : 118
him       : 115
horses    : 115
In        : 114
large     : 111
miles     : 109
would     : 108
Japan     : 107
where     : 107
room      : 105
horse     : 104
good      : 103
There     : 103
without   : 103
water     : 101
women     : 100
He        : 100
looking   : 100
each      : 99
Aino      : 98
children  : 98
said      : 98
rice      : 95
then      : 94
side      : 94
place     : 94
time      : 93
seen      : 91
never     : 90
can       : 90
see       : 89
This      : 89
high      : 89
well      : 88
road      : 88
such      : 87
back      : 86
though    : 86
Ainos     : 86
small     : 85
nearly    : 85
few       : 84
among     : 83
little    : 83
blue      : 82
even      : 81
covered   : 81
came      : 80
before    : 79
get       : 78
night     : 78
she       : 77
village   : 77
under     : 77
ofthe     : 77
could     : 77
left      : 76
round     : 76
river     : 76
several   : 76
white     : 75
here      : 75
fine      : 75
five      : 74
go        : 72
four      : 72
old       : 72
tea       : 71
along     : 70
first     : 70
At        : 69
sake      : 69
should    : 69
above     : 68
another   : 68
every     : 68
beautiful : 67
grey      : 67
mountains : 67
off       : 67
till      : 67
whole     : 67
what      : 66
On        : 65
number    : 65
sea       : 65
wood      : 65
deep      : 65
our       : 64
top       : 64
look      : 63
away      : 63
us        : 62
woman     : 61
Mr        : 61
again     : 61
way       : 61
rain      : 61
took      : 61
stone     : 61
black     : 60
English   : 60
head      : 60
do        : 59
days      : 59
paper     : 58
LETTER    : 58
same      : 58
hours     : 58
part      : 57
dark      : 57
am        : 56
saw       : 56
must      : 56
chief     : 56
morning   : 56
found     : 55
went      : 55
temple    : 55
B         : 54
last      : 54
villages  : 54
life      : 54
hour      : 54
those     : 53
may       : 53
will      : 53
lacquer   : 53
both      : 53
eyes      : 53
used      : 53
We        : 52
got       : 51
brought   : 51
red       : 51
six       : 51
work      : 51
end       : 50
own       : 50
always    : 50
often     : 50
country   : 50
broad     : 50
make      : 49
inches    : 49
hair      : 49
ground    : 49
carried   : 49
L         : 48
far       : 48
height    : 48
light     : 48
half      : 48
either    : 48
front     : 48
whose     : 48
town      : 48
These     : 47
trees     : 47
nothing   : 47
put       : 47
too       : 47
called    : 46
face      : 46
pack      : 46
fire      : 46
journey   : 45
between   : 45
quite     : 45
asked     : 45
silk      : 45
After     : 44
looked    : 44
except    : 44
forest    : 44
told      : 44
street    : 43
now       : 43
hills     : 43
just      : 43
heavy     : 43
gold      : 42
master    : 42
less      : 42
full      : 42
low       : 42
things    : 42
mountain  : 42
times     : 41
green     : 41
soon      : 41
Yezo      : 41
As        : 40
wooded    : 40
bear      : 40
rooms     : 40
open      : 40
hands     : 40
hill      : 40
clothes   : 40
think     : 39
going     : 39
did       : 39
others    : 39
Government: 39
crossed   : 39
take      : 39
evening   : 39
rest      : 39
saddle    : 39
short     : 38
ever      : 38
anything  : 38
hand      : 38
use       : 38
while     : 38
steep     : 38
pass      : 38
twenty    : 38
foot      : 37
food      : 37
roofs     : 37
once      : 37
When      : 37
say       : 37
foreign   : 37
rather    : 37
still     : 37
give      : 37
given     : 37
together  : 37
form      : 36
wooden    : 36
god       : 36
interior  : 36
kind      : 36
young     : 36
fish      : 36
bad       : 36
roof      : 35
better    : 35
An        : 35
next      : 35
behind    : 35
right     : 35
Tokiyo    : 34
because   : 34
bark      : 33
If        : 33
poor      : 33
kept      : 33
near      : 32
new       : 32
European  : 32
grand     : 32
know      : 32
straw     : 31
My        : 31
himself   : 31
almost    : 31
early     : 31
present   : 31
usually   : 31
travelling: 31
yadoya    : 31
something : 31
find      : 31
themselves: 30
placed    : 30
cryptomeria: 30
floor     : 30
met       : 30
also      : 30
word      : 30
sent      : 30
cloth     : 30
however   : 30
faces     : 30
mats      : 29
rivers    : 29
dress     : 29
walk      : 29
reached   : 29
eight     : 29
walls     : 29
nor       : 29
come      : 29
pleasant  : 29
sun       : 29
sand      : 29
tell      : 29
