and            : 3412
the            : 2809
to             : 1404
a              : 1290
he             : 1180
of             : 1171
that           : 799
in             : 796
was            : 748
as             : 670
you            : 656
it             : 629
all            : 596
they           : 594
for            : 585
I              : 574
Tom            : 560
not            : 513
And            : 499
his            : 482
him            : 449
at             : 397
had            : 397
them           : 370
with           : 364
but            : 363
is             : 360
she            : 355
so             : 344
on             : 318
little         : 294
have           : 292
But            : 290
which          : 290
up             : 290
out            : 287
very           : 284
said           : 274
be             : 271
there          : 271
her            : 270
or             : 268
are            : 262
s              : 259
if             : 254
were           : 226
like           : 226
water          : 225
one            : 222
when           : 217
their          : 216
into           : 205
then           : 203
no             : 197
will           : 191
what           : 189
do             : 188
would          : 182
did            : 178
who            : 172
could          : 168
great          : 167
down           : 165
know           : 164
by             : 160
see            : 157
more           : 155
t              : 152
go             : 151
over           : 151
never          : 148
old            : 148
me             : 146
came           : 144
about          : 140
away           : 139
good           : 133
sea            : 128
from           : 127
my             : 121
till           : 121
So             : 120
too            : 119
been           : 119
man            : 117
saw            : 115
other          : 114
this           : 112
must           : 111
The            : 110
went           : 110
again          : 110
quite          : 107
He             : 105
only           : 105
can            : 101
looked         : 99
come           : 98
we             : 97
now            : 97
than           : 95
your           : 94
poor           : 93
long           : 92
round          : 91
way            : 90
may            : 90
world          : 89
day            : 88
get            : 88
some           : 88
last           : 85
much           : 84
ever           : 84
Grimes         : 83
where          : 83
an             : 82
off            : 82
people         : 81
am             : 80
how            : 80
just           : 80
thought        : 80
after          : 79
children       : 79
Then           : 78
things         : 77
before         : 77
say            : 77
such           : 76
any            : 76
head           : 75
got            : 73
time           : 73
For            : 72
because        : 72
You            : 71
make           : 70
every          : 70
don            : 69
babies         : 68
put            : 68
himself        : 67
dear           : 67
tell           : 66
back           : 65
many           : 65
why            : 65
should         : 64
most           : 64
here           : 63
baby           : 61
has            : 61
men            : 61
made           : 60
though         : 60
cried          : 60
yet            : 58
under          : 56
white          : 56
two            : 55
right          : 55
enough         : 55
seen           : 54
lady           : 54
once           : 54
still          : 54
look           : 53
end            : 52
want           : 52
found          : 52
turned         : 52
even           : 52
fairy          : 51
nothing        : 51
find           : 51
Ellie          : 50
eyes           : 50
Sir            : 49
asked          : 49
shall          : 49
course         : 49
well           : 49
own            : 49
being          : 48
took           : 48
It             : 47
while          : 47
heard          : 47
dog            : 46
us             : 46
thing          : 45
Oh             : 45
place          : 45
told           : 45
began          : 45
think          : 44
John           : 43
those          : 43
upon           : 43
three          : 43
Now            : 43
cannot         : 43
going          : 42
Mr             : 42
knew           : 42
set            : 42
work           : 41
perhaps        : 41
left           : 41
fish           : 41
ran            : 41
through        : 41
salmon         : 41
first          : 40
What           : 40
let            : 40
backstairs     : 40
There          : 39
If             : 39
next           : 39
help           : 39
always         : 39
They           : 38
another        : 38
black          : 38
Why            : 38
its            : 38
face           : 37
among          : 37
strange        : 37
take           : 37
care           : 37
instead        : 36
might          : 36
full           : 36
new            : 36
grew           : 35
land           : 35
each           : 35
hard           : 34
eat            : 34
least          : 34
frightened     : 34
hundred        : 34
nor            : 34
along          : 34
clean          : 34
years          : 34
half           : 33
better         : 33
stream         : 33
indeed         : 33
life           : 33
our            : 33
times          : 32
fairies        : 32
No             : 32
without        : 32
lay            : 32
anything       : 32
coming         : 32
ought          : 32
themselves     : 31
lobster        : 31
boy            : 31
beautiful      : 30
Ah             : 30
sure           : 30
grow           : 30
looking        : 30
soon           : 30
five           : 30
behind         : 30
gone           : 29
Well           : 29
something      : 29
fast           : 29
chimney        : 29
true           : 29
big            : 29
rock           : 29
turn           : 28
caught         : 28
house          : 28
play           : 28
young          : 28
between        : 28
night          : 28
feet           : 28
wonderful      : 28
wrong          : 28
boys           : 28
That           : 27
She            : 27
fly            : 27
keep           : 27
rocks          : 27
